epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0987,1.59795,1.85136,1.48245,0.70026,0.47,0.59111,0.21316,1.79176,2.72871,1.67586,0.000664112,0.000664112,0.000664112
2,29.3719,1.59919,1.42754,1.46877,0.45589,0.39,0.37992,0.16188,2.12151,2.67238,1.83317,0.0013176,0.0013176,0.0013176
3,43.0345,1.57157,1.27775,1.48272,0.81681,0.62422,0.76157,0.32938,1.83873,1.58009,1.70866,0.0019579,0.0019579,0.0019579
4,56.5742,1.54073,1.16683,1.43575,0.7378,0.595,0.66421,0.32643,1.85958,1.41049,1.86138,0.0019406,0.0019406,0.0019406
5,69.2452,1.47594,1.06973,1.41355,0.72826,0.835,0.84483,0.43007,1.7023,1.136,1.73952,0.0019208,0.0019208,0.0019208
6,80.0065,1.36195,0.9929,1.32062,0.77311,0.855,0.89772,0.5218,1.48443,0.95991,1.45634,0.001901,0.001901,0.001901
7,90.9335,1.2205,0.89617,1.23948,0.87305,0.89,0.9535,0.66463,1.13576,0.86736,1.25032,0.0018812,0.0018812,0.0018812
8,103.082,1.15256,0.82271,1.20446,0.93122,0.94778,0.96871,0.60822,1.21907,0.84463,1.3676,0.0018614,0.0018614,0.0018614
9,112.394,1.12852,0.79863,1.19732,0.9487,0.92458,0.97094,0.67115,1.12123,0.77742,1.25263,0.0018416,0.0018416,0.0018416
10,122.983,1.08817,0.74047,1.16958,0.90114,0.95706,0.96345,0.6863,1.00756,0.77745,1.12601,0.0018218,0.0018218,0.0018218
11,132.266,1.02797,0.72026,1.13636,0.98498,0.955,0.98434,0.72622,0.90923,0.65586,1.06574,0.001802,0.001802,0.001802
12,142.964,1.01645,0.68667,1.12302,0.94894,0.92918,0.97942,0.70823,0.99923,0.74324,1.13008,0.0017822,0.0017822,0.0017822
13,155.057,0.97678,0.67185,1.11258,0.96442,0.94869,0.98568,0.73693,0.91669,0.64331,1.05025,0.0017624,0.0017624,0.0017624
14,167.217,0.93305,0.63039,1.0944,0.99376,0.965,0.98347,0.75564,0.89565,0.56763,1.04253,0.0017426,0.0017426,0.0017426
15,178.007,0.93528,0.6314,1.09344,0.98352,0.96,0.98792,0.71849,0.93586,0.62513,1.01129,0.0017228,0.0017228,0.0017228
16,187.272,0.91211,0.62491,1.06886,0.98568,0.965,0.98846,0.78504,0.82761,0.56658,1.00369,0.001703,0.001703,0.001703
17,199.878,0.90457,0.62615,1.0712,0.99204,0.935,0.98351,0.78078,0.83338,0.57296,1.0133,0.0016832,0.0016832,0.0016832
18,212.202,0.86818,0.5887,1.05419,0.96967,0.95925,0.98857,0.77028,0.80778,0.55455,1.00391,0.0016634,0.0016634,0.0016634
19,225.533,0.89796,0.59645,1.05702,0.97122,0.965,0.9878,0.75418,0.85793,0.56073,1.06216,0.0016436,0.0016436,0.0016436
20,239.148,0.87468,0.586,1.06447,0.96977,0.96224,0.98879,0.73993,0.8626,0.56952,1.07677,0.0016238,0.0016238,0.0016238
21,253.027,0.85908,0.58706,1.0476,0.99574,0.955,0.98514,0.73468,0.93533,0.57625,1.09986,0.001604,0.001604,0.001604
22,266.536,0.82188,0.55855,1.03209,0.99408,0.96,0.99079,0.77708,0.81692,0.55559,1.04113,0.0015842,0.0015842,0.0015842
23,279.907,0.82595,0.5577,1.03047,0.9691,0.96,0.98355,0.74723,0.94162,0.57391,1.07715,0.0015644,0.0015644,0.0015644
24,293.374,0.8039,0.53743,1.01574,0.99223,0.96,0.98893,0.7476,0.88845,0.56369,1.0035,0.0015446,0.0015446,0.0015446
25,306.716,0.80327,0.52853,1.0193,0.99463,0.975,0.99084,0.79933,0.77902,0.49303,1.0421,0.0015248,0.0015248,0.0015248
26,320.538,0.77319,0.5214,1.01559,0.97886,0.96,0.98948,0.75146,0.90526,0.52648,1.11512,0.001505,0.001505,0.001505
