epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4309,1.61447,2.42191,1.60659,0.37252,0.61001,0.43936,0.25297,1.20795,2.01915,1.26607,0.00331707,0.00331707,0.00331707
2,25.4696,1.2675,1.50068,1.29278,0.34613,0.70803,0.47124,0.21958,1.66411,1.99766,1.50011,0.00661749,0.00661749,0.00661749
3,35.26,1.34717,1.35356,1.33638,0.44407,0.6048,0.51488,0.2445,1.75138,1.90928,1.67718,0.0098849,0.0098849,0.0098849
4,44.9702,1.4803,1.31455,1.42088,0.60194,0.77059,0.67884,0.32351,1.75413,1.8987,1.49026,0.0098515,0.0098515,0.0098515
5,55.7454,1.38616,1.17616,1.38307,0.72054,0.73201,0.82176,0.43881,1.70887,1.41569,1.61586,0.009802,0.009802,0.009802
6,65.4087,1.35776,1.09169,1.36845,0.9155,0.80207,0.92841,0.51319,1.48513,1.09368,1.41212,0.0097525,0.0097525,0.0097525
7,75.0237,1.2414,0.95506,1.29666,0.87189,0.85869,0.93228,0.57446,1.32432,0.97914,1.37097,0.009703,0.009703,0.009703
8,84.5938,1.19165,0.91744,1.25863,0.74321,0.80276,0.852,0.5489,1.28496,1.03709,1.30503,0.0096535,0.0096535,0.0096535
9,97.9239,1.11454,0.83912,1.21802,0.85796,0.86917,0.95127,0.62229,1.18607,0.8671,1.19509,0.009604,0.009604,0.009604
10,107.514,1.10524,0.81857,1.21085,0.96841,0.95412,0.9882,0.66805,1.16046,0.76314,1.17802,0.0095545,0.0095545,0.0095545
11,117.109,1.0559,0.76686,1.18123,0.87992,0.83003,0.93534,0.61593,1.18826,0.89376,1.24157,0.009505,0.009505,0.009505
12,128.819,1.07159,0.77682,1.18426,0.94306,0.96709,0.98612,0.67921,1.13218,0.7408,1.17279,0.0094555,0.0094555,0.0094555
13,138.407,1.01274,0.73088,1.15578,0.97106,0.92179,0.98001,0.71426,1.01274,0.72425,1.08394,0.009406,0.009406,0.009406
14,149.409,0.99939,0.72157,1.15268,0.89183,0.95429,0.97564,0.68375,1.05064,0.72763,1.16187,0.0093565,0.0093565,0.0093565
15,158.975,0.95476,0.68487,1.12896,0.95451,0.95308,0.98617,0.73498,0.96027,0.67881,1.08895,0.009307,0.009307,0.009307
16,168.488,0.95628,0.68235,1.12395,0.9398,0.96046,0.98154,0.74484,0.90197,0.67648,1.0252,0.0092575,0.0092575,0.0092575
17,178.015,0.93553,0.66468,1.1107,0.94343,0.97602,0.9884,0.77285,0.92289,0.68375,1.04663,0.009208,0.009208,0.009208
18,192.716,0.91131,0.65256,1.10497,0.96528,0.98571,0.98921,0.77553,0.89236,0.59657,1.03908,0.0091585,0.0091585,0.0091585
19,207.822,0.88465,0.63752,1.09936,0.94949,0.96976,0.98446,0.74012,0.92898,0.6355,1.04737,0.009109,0.009109,0.009109
20,222.113,0.87453,0.61621,1.08593,0.96123,0.98253,0.98952,0.77624,0.82397,0.56553,1.0333,0.0090595,0.0090595,0.0090595
21,235.039,0.85087,0.60154,1.07355,0.97139,0.95593,0.99084,0.79184,0.85004,0.57343,0.99043,0.00901,0.00901,0.00901
22,247.752,0.86203,0.6161,1.06675,0.97267,0.95933,0.98978,0.78123,0.86117,0.57382,1.01744,0.0089605,0.0089605,0.0089605
23,257.383,0.82693,0.59557,1.05056,0.98004,0.94473,0.98773,0.748,0.94051,0.62936,1.00952,0.008911,0.008911,0.008911
24,266.792,0.81522,0.56922,1.03788,0.98851,0.98655,0.99248,0.80038,0.82618,0.5133,1.00572,0.0088615,0.0088615,0.0088615
25,276.269,0.82299,0.57875,1.03964,0.98018,0.97981,0.99208,0.76253,0.90355,0.55912,1.05292,0.008812,0.008812,0.008812
26,286.684,0.82177,0.56048,1.03952,0.9784,0.97497,0.99038,0.75852,0.92465,0.53394,1.0267,0.0087625,0.0087625,0.0087625
27,296.463,0.7809,0.54015,1.02439,0.99238,0.9854,0.993,0.8076,0.85144,0.505,0.9995,0.008713,0.008713,0.008713
28,306.202,0.78226,0.54862,1.01992,0.98575,0.98644,0.99237,0.81415,0.76448,0.50286,0.9835,0.0086635,0.0086635,0.0086635
29,315.934,0.77065,0.54205,1.01876,0.98089,0.94578,0.98573,0.77453,0.90294,0.58054,1.0148,0.008614,0.008614,0.008614
30,325.683,0.77805,0.53797,1.01463,0.98249,0.98019,0.99211,0.81828,0.78559,0.49822,0.95671,0.0085645,0.0085645,0.0085645
31,335.403,0.77114,0.54133,1.00849,0.98335,0.98853,0.99178,0.80255,0.79479,0.48923,0.9975,0.008515,0.008515,0.008515
32,347.6,0.74852,0.51721,1.00788,0.98946,0.97883,0.99222,0.79946,0.80096,0.50503,0.98942,0.0084655,0.0084655,0.0084655
33,357.574,0.74605,0.52098,1.00112,0.98201,0.98749,0.99264,0.79534,0.81885,0.47235,0.99378,0.008416,0.008416,0.008416
34,367.277,0.74562,0.51236,0.9944,0.99099,0.98436,0.99309,0.79126,0.84028,0.50721,1.01947,0.0083665,0.0083665,0.0083665
35,377.028,0.74635,0.51457,0.99154,0.98641,0.98385,0.99173,0.78079,0.85315,0.51891,1.02749,0.008317,0.008317,0.008317
36,386.846,0.74205,0.50273,1.00107,0.98327,0.98853,0.99268,0.80898,0.79419,0.48824,1.02985,0.0082675,0.0082675,0.0082675
37,396.543,0.70823,0.48415,0.98459,0.98516,0.9854,0.99211,0.82322,0.76246,0.47685,0.97352,0.008218,0.008218,0.008218
38,406.85,0.71803,0.48533,0.98172,0.98421,0.98227,0.99111,0.79609,0.79,0.48057,0.9926,0.0081685,0.0081685,0.0081685
39,416.314,0.70602,0.47444,0.98522,0.97827,0.98569,0.99046,0.81131,0.77441,0.49013,0.99379,0.008119,0.008119,0.008119
40,425.764,0.71016,0.47777,0.98058,0.98876,0.9781,0.99121,0.80477,0.80776,0.48401,1.02286,0.0080695,0.0080695,0.0080695
41,436.773,0.70505,0.46909,0.97518,0.97879,0.98853,0.9914,0.80783,0.80203,0.48183,1.04694,0.00802,0.00802,0.00802
42,448.859,0.69467,0.46428,0.97604,0.98836,0.98957,0.99318,0.80975,0.77872,0.4624,0.98387,0.0079705,0.0079705,0.0079705
43,458.37,0.69566,0.45784,0.97468,0.99472,0.98193,0.99279,0.82848,0.72511,0.43519,0.95131,0.007921,0.007921,0.007921
44,469.198,0.68343,0.45195,0.96908,0.98431,0.97393,0.99038,0.80267,0.76913,0.43775,1.01367,0.0078715,0.0078715,0.0078715
45,480.249,0.67582,0.4532,0.96249,0.98602,0.98019,0.99242,0.8295,0.73011,0.44928,0.97963,0.007822,0.007822,0.007822
46,489.659,0.68254,0.45196,0.97027,0.97056,0.98227,0.98931,0.83332,0.72336,0.4347,0.96448,0.0077725,0.0077725,0.0077725
47,499.067,0.67535,0.43484,0.95918,0.99226,0.98644,0.99353,0.83294,0.72302,0.4324,0.97657,0.007723,0.007723,0.007723
48,508.452,0.66931,0.43403,0.9545,0.98797,0.98853,0.99354,0.82026,0.77247,0.42547,0.97765,0.0076735,0.0076735,0.0076735
49,518.042,0.65255,0.42092,0.95615,0.99163,0.98847,0.99308,0.81483,0.76537,0.43071,1.0038,0.007624,0.007624,0.007624
50,527.655,0.66033,0.43115,0.9576,0.98748,0.98658,0.99292,0.81269,0.76773,0.44141,0.9623,0.0075745,0.0075745,0.0075745
51,537.048,0.65704,0.42137,0.95435,0.98322,0.98957,0.99319,0.82672,0.76985,0.41971,0.9903,0.007525,0.007525,0.007525
52,546.45,0.64713,0.41463,0.95792,0.99079,0.98853,0.99299,0.8291,0.74466,0.40559,0.96332,0.0074755,0.0074755,0.0074755
53,555.885,0.65894,0.42734,0.95111,0.96422,0.98343,0.99122,0.83409,0.71049,0.45163,0.95479,0.007426,0.007426,0.007426
54,565.336,0.64657,0.41111,0.94779,0.99193,0.98644,0.99356,0.80815,0.78662,0.40446,0.97498,0.0073765,0.0073765,0.0073765
55,574.758,0.65249,0.4218,0.95188,0.98267,0.98644,0.99124,0.83433,0.71329,0.41308,0.95073,0.007327,0.007327,0.007327
56,584.238,0.63313,0.41233,0.94943,0.954,0.9732,0.98773,0.83815,0.69579,0.42866,0.97867,0.0072775,0.0072775,0.0072775
57,593.729,0.64303,0.41103,0.9448,0.99224,0.98853,0.99351,0.84963,0.68254,0.40265,0.94217,0.007228,0.007228,0.007228
58,603.218,0.62725,0.40396,0.94526,0.98336,0.986,0.99235,0.81602,0.76859,0.42556,0.99501,0.0071785,0.0071785,0.0071785
59,612.757,0.62599,0.39596,0.94321,0.98912,0.99062,0.99346,0.83317,0.71813,0.40371,0.95929,0.007129,0.007129,0.007129
60,622.238,0.62182,0.402,0.9429,0.99392,0.98853,0.99385,0.84351,0.71624,0.40028,0.96868,0.0070795,0.0070795,0.0070795
61,631.691,0.62969,0.39782,0.94446,0.99002,0.98957,0.9939,0.84657,0.68637,0.37841,0.95238,0.00703,0.00703,0.00703
62,641.204,0.62211,0.39612,0.93876,0.96042,0.99062,0.99243,0.84208,0.69053,0.3987,0.93596,0.0069805,0.0069805,0.0069805
63,650.682,0.61713,0.3915,0.93695,0.97323,0.98575,0.99116,0.84515,0.64939,0.39167,0.93341,0.006931,0.006931,0.006931
64,660.181,0.61753,0.39573,0.93472,0.99058,0.98656,0.9934,0.8459,0.67989,0.38222,0.93745,0.0068815,0.0068815,0.0068815
65,669.666,0.62756,0.39797,0.94455,0.98507,0.97706,0.99196,0.8289,0.72367,0.38473,0.9739,0.006832,0.006832,0.006832
66,679.203,0.6151,0.38658,0.93448,0.98957,0.9927,0.99388,0.85289,0.67305,0.37015,0.91693,0.0067825,0.0067825,0.0067825
67,693.832,0.61328,0.38574,0.93819,0.9806,0.98227,0.99204,0.83476,0.70236,0.38308,0.95013,0.006733,0.006733,0.006733
68,708.782,0.60669,0.38704,0.93304,0.99032,0.98749,0.99325,0.85433,0.66237,0.36178,0.93423,0.0066835,0.0066835,0.0066835
69,718.366,0.59771,0.38258,0.936,0.98702,0.98436,0.99192,0.83931,0.66317,0.37896,0.93413,0.006634,0.006634,0.006634
70,727.884,0.59683,0.38151,0.92995,0.99307,0.98749,0.99365,0.85148,0.66462,0.35746,0.94178,0.0065845,0.0065845,0.0065845
71,737.457,0.58903,0.37302,0.92409,0.9897,0.98644,0.99323,0.86019,0.63174,0.34771,0.92863,0.006535,0.006535,0.006535
72,750.474,0.60385,0.37907,0.93256,0.98766,0.97393,0.99284,0.84748,0.65175,0.3719,0.91358,0.0064855,0.0064855,0.0064855
73,765.125,0.59066,0.36773,0.92166,0.99158,0.98272,0.99352,0.85547,0.65012,0.35553,0.92084,0.006436,0.006436,0.006436
74,779.852,0.59068,0.37227,0.92743,0.98285,0.98123,0.99111,0.85014,0.66519,0.37668,0.92934,0.0063865,0.0063865,0.0063865
75,793.943,0.57897,0.36056,0.91834,0.99476,0.98904,0.99387,0.85798,0.63916,0.35295,0.93182,0.006337,0.006337,0.006337
76,803.492,0.58449,0.36625,0.92439,0.98748,0.98677,0.99319,0.85476,0.65824,0.35446,0.94305,0.0062875,0.0062875,0.0062875
77,817.065,0.57763,0.36284,0.915,0.98848,0.97706,0.98981,0.85087,0.6557,0.36229,0.92166,0.006238,0.006238,0.006238
78,831.771,0.59193,0.37081,0.91969,0.98645,0.98674,0.99349,0.85261,0.65146,0.36591,0.92176,0.0061885,0.0061885,0.0061885
79,846.632,0.57676,0.36109,0.92061,0.98889,0.9854,0.99368,0.86104,0.64288,0.37007,0.91138,0.006139,0.006139,0.006139
80,858.634,0.57736,0.36165,0.91452,0.97532,0.98436,0.99271,0.85606,0.66189,0.36887,0.94088,0.0060895,0.0060895,0.0060895
81,872.684,0.56582,0.35845,0.91765,0.9841,0.98436,0.99292,0.85509,0.65286,0.35884,0.91295,0.00604,0.00604,0.00604
82,887.546,0.57015,0.35923,0.91875,0.99044,0.97178,0.99338,0.8646,0.6132,0.34613,0.93665,0.0059905,0.0059905,0.0059905
83,902.545,0.56694,0.34911,0.91549,0.98372,0.98123,0.99178,0.86692,0.60237,0.33997,0.90192,0.005941,0.005941,0.005941
84,917.572,0.57301,0.35652,0.91466,0.98585,0.98853,0.99344,0.85346,0.63421,0.33573,0.92574,0.0058915,0.0058915,0.0058915
85,932.272,0.57246,0.3535,0.91703,0.99266,0.9874,0.99373,0.86973,0.60622,0.34402,0.91008,0.005842,0.005842,0.005842
86,946.669,0.56796,0.35108,0.91333,0.99162,0.9868,0.9931,0.86994,0.59604,0.33299,0.9005,0.0057925,0.0057925,0.0057925
87,961.168,0.54797,0.33806,0.90689,0.99132,0.98123,0.99293,0.86381,0.61764,0.33409,0.90858,0.005743,0.005743,0.005743
88,975.924,0.55484,0.34058,0.9097,0.98212,0.9781,0.99046,0.86272,0.63037,0.34415,0.92739,0.0056935,0.0056935,0.0056935
