epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26692,2.1518,2.85208,1.34698,0.01455,0.89773,0.58586,0.27988,1.60188,2.76469,1.06187,0.00044,0.00044,0.00044
2,4.68281,1.855,1.66179,1.176,0.97286,0.24444,0.68552,0.33105,1.6897,2.25774,1.09582,0.00089109,0.00089109,0.00089109
3,6.02863,1.73482,1.54921,1.19702,0.84497,0.48309,0.66212,0.32979,1.66106,2.01119,1.13243,0.00133307,0.00133307,0.00133307
4,7.3564,1.80935,1.45644,1.18349,0.49452,0.59811,0.43898,0.2219,1.68572,1.83147,1.19263,0.00176595,0.00176595,0.00176595
5,8.64926,1.75356,1.34577,1.24459,0.82688,0.68636,0.77744,0.39976,1.60325,1.98567,1.20172,0.0019208,0.0019208,0.0019208
6,9.93664,1.7717,1.37808,1.2333,0.69757,0.72273,0.75458,0.36013,1.71542,1.27796,1.20065,0.001901,0.001901,0.001901
7,11.4768,1.74764,1.25159,1.20997,0.85741,0.68333,0.78191,0.39396,1.67971,1.09591,1.21564,0.0018812,0.0018812,0.0018812
8,12.7529,1.75231,1.24734,1.21503,0.84614,0.72045,0.8003,0.41014,1.59769,1.11384,1.16995,0.0018614,0.0018614,0.0018614
9,14.1635,1.84549,1.32926,1.23839,0.79841,0.68408,0.76214,0.37857,1.65419,1.28875,1.18484,0.0018416,0.0018416,0.0018416
10,16.2106,1.7124,1.21262,1.17753,0.82922,0.6842,0.79648,0.41862,1.58171,1.26234,1.13057,0.0018218,0.0018218,0.0018218
11,18.3831,1.63905,1.10338,1.1461,0.87131,0.72955,0.82783,0.43167,1.59127,1.13177,1.12382,0.001802,0.001802,0.001802
12,20.5818,1.5812,1.02714,1.10839,0.8958,0.72273,0.82516,0.43175,1.62876,0.99311,1.16006,0.0017822,0.0017822,0.0017822
13,22.6926,1.63181,1.09118,1.16582,0.86459,0.72727,0.82977,0.42616,1.60367,1.09665,1.15049,0.0017624,0.0017624,0.0017624
14,24.8866,1.57737,1.05333,1.14633,0.84356,0.73182,0.80765,0.44973,1.55044,1.09692,1.13063,0.0017426,0.0017426,0.0017426
15,27.0467,1.57034,1.04678,1.13871,0.84513,0.76894,0.8247,0.45917,1.48512,0.97591,1.11179,0.0017228,0.0017228,0.0017228
16,28.349,1.5036,0.98801,1.08796,0.8951,0.72727,0.82247,0.46374,1.51336,0.90901,1.11883,0.001703,0.001703,0.001703
17,29.6238,1.54158,0.98056,1.08837,0.86815,0.75682,0.83842,0.47164,1.53089,0.89068,1.1076,0.0016832,0.0016832,0.0016832
18,30.8883,1.57088,0.97139,1.11731,0.85314,0.69977,0.81798,0.46625,1.49719,0.94207,1.09029,0.0016634,0.0016634,0.0016634
19,32.1621,1.50926,0.94117,1.08403,0.84078,0.7081,0.79421,0.41624,1.64544,0.99053,1.13421,0.0016436,0.0016436,0.0016436
20,33.4259,1.49,0.9176,1.08615,0.85694,0.71818,0.82266,0.43574,1.58402,0.98867,1.1366,0.0016238,0.0016238,0.0016238
21,34.6759,1.53447,0.91407,1.0879,0.87756,0.76562,0.84077,0.46562,1.49292,0.90388,1.10954,0.001604,0.001604,0.001604
22,35.9308,1.48188,0.92317,1.08757,0.87568,0.72955,0.82257,0.48677,1.464,0.92515,1.08969,0.0015842,0.0015842,0.0015842
23,37.2267,1.492,0.89421,1.083,0.8964,0.78657,0.87292,0.49378,1.45235,0.88538,1.08361,0.0015644,0.0015644,0.0015644
24,38.5068,1.45489,0.90152,1.07317,0.86942,0.77045,0.83262,0.46529,1.55109,0.93473,1.1048,0.0015446,0.0015446,0.0015446
25,39.7994,1.4632,0.87357,1.08955,0.8987,0.76622,0.84754,0.48837,1.44982,0.87072,1.09337,0.0015248,0.0015248,0.0015248
26,41.103,1.4644,0.88401,1.08552,0.88771,0.73668,0.83741,0.44332,1.59187,0.88916,1.15097,0.001505,0.001505,0.001505
27,42.3756,1.48565,0.84824,1.06977,0.88756,0.77955,0.86563,0.49414,1.46408,0.83048,1.10216,0.0014852,0.0014852,0.0014852
28,43.6127,1.42826,0.85832,1.06521,0.90087,0.71591,0.84441,0.49314,1.5169,0.93944,1.11186,0.0014654,0.0014654,0.0014654
29,44.8422,1.43658,0.85943,1.05901,0.90097,0.775,0.86924,0.49127,1.47314,0.87678,1.08271,0.0014456,0.0014456,0.0014456
30,46.1048,1.42401,0.82194,1.06691,0.88254,0.76591,0.85351,0.48968,1.47196,0.86304,1.08811,0.0014258,0.0014258,0.0014258
31,47.3664,1.45687,0.82556,1.06243,0.88848,0.77859,0.85618,0.45341,1.56161,0.92812,1.12156,0.001406,0.001406,0.001406
32,48.6094,1.4707,0.84183,1.06414,0.8785,0.77273,0.85767,0.49299,1.47366,0.84958,1.08674,0.0013862,0.0013862,0.0013862
33,49.8697,1.46142,0.84854,1.06877,0.89663,0.78636,0.86658,0.5005,1.44052,0.82385,1.07911,0.0013664,0.0013664,0.0013664
34,51.3674,1.41618,0.77557,1.03185,0.8719,0.77348,0.85242,0.49212,1.46563,0.80867,1.07878,0.0013466,0.0013466,0.0013466
35,53.0285,1.43248,0.82358,1.05273,0.85351,0.77273,0.84936,0.48128,1.4552,0.88271,1.08515,0.0013268,0.0013268,0.0013268
36,54.6877,1.39982,0.82722,1.04587,0.91459,0.7544,0.85008,0.50032,1.42477,0.83322,1.06772,0.001307,0.001307,0.001307
37,56.3495,1.42005,0.78898,1.03141,0.88087,0.77304,0.85815,0.50274,1.39485,0.87469,1.05961,0.0012872,0.0012872,0.0012872
38,58.086,1.43213,0.81984,1.04418,0.88248,0.75455,0.84509,0.48166,1.48926,0.83919,1.07638,0.0012674,0.0012674,0.0012674
39,59.7465,1.42146,0.80034,1.04066,0.90757,0.78636,0.86052,0.50068,1.41476,0.80886,1.05618,0.0012476,0.0012476,0.0012476
40,61.4156,1.39276,0.77812,1.02471,0.91178,0.80227,0.88639,0.51854,1.39463,0.77466,1.05826,0.0012278,0.0012278,0.0012278
41,63.0886,1.3503,0.741,1.00539,0.89909,0.77727,0.87725,0.50563,1.40801,0.84181,1.06546,0.001208,0.001208,0.001208
42,64.7768,1.33917,0.74947,1.01485,0.87215,0.79091,0.86654,0.48997,1.4454,0.81886,1.06395,0.0011882,0.0011882,0.0011882
43,66.3601,1.37282,0.7655,1.01836,0.88224,0.76622,0.85773,0.48588,1.50501,0.86578,1.07625,0.0011684,0.0011684,0.0011684
44,67.5947,1.3389,0.73783,1.02012,0.8886,0.79764,0.86617,0.50188,1.43364,0.81833,1.06817,0.0011486,0.0011486,0.0011486
45,68.8454,1.33158,0.73266,1.01771,0.93551,0.77727,0.86919,0.50509,1.42331,0.78563,1.07568,0.0011288,0.0011288,0.0011288
46,70.0967,1.33163,0.74371,1.01865,0.89673,0.79318,0.86772,0.51191,1.39716,0.77837,1.05685,0.001109,0.001109,0.001109
47,71.4376,1.34366,0.72956,1.01856,0.85189,0.72273,0.83032,0.43231,1.63907,0.87486,1.1497,0.0010892,0.0010892,0.0010892
48,72.6848,1.38404,0.75668,1.03016,0.91431,0.80022,0.87868,0.53385,1.3615,0.73898,1.04597,0.0010694,0.0010694,0.0010694
49,73.9309,1.32357,0.7277,1.00755,0.89325,0.76818,0.88208,0.49497,1.45391,0.80195,1.06514,0.0010496,0.0010496,0.0010496
50,75.2079,1.34834,0.71989,0.99598,0.88931,0.7669,0.87452,0.49228,1.47856,0.80669,1.07068,0.0010298,0.0010298,0.0010298
51,76.5225,1.29999,0.69684,1.00088,0.89603,0.8031,0.88646,0.52405,1.37864,0.76638,1.04559,0.00101,0.00101,0.00101
52,77.813,1.28613,0.6989,0.99964,0.88841,0.8,0.88698,0.5161,1.41198,0.77129,1.05274,0.0009902,0.0009902,0.0009902
53,79.0723,1.32269,0.72031,1.00902,0.90494,0.80048,0.88512,0.53612,1.37649,0.75128,1.04802,0.0009704,0.0009704,0.0009704
54,80.355,1.29028,0.69232,0.98798,0.89085,0.79773,0.88697,0.51536,1.42887,0.77185,1.05339,0.0009506,0.0009506,0.0009506
55,81.6315,1.2921,0.68875,0.993,0.92638,0.79091,0.88388,0.53034,1.41048,0.74345,1.0549,0.0009308,0.0009308,0.0009308
56,82.8836,1.29043,0.67699,1.00837,0.93015,0.80227,0.89418,0.53998,1.38838,0.73102,1.05075,0.000911,0.000911,0.000911
57,84.1695,1.32242,0.69669,1.01264,0.94071,0.75682,0.8647,0.49538,1.4991,0.79589,1.07642,0.0008912,0.0008912,0.0008912
58,85.4139,1.27538,0.66219,0.9961,0.92748,0.78864,0.88031,0.53293,1.37591,0.72822,1.0526,0.0008714,0.0008714,0.0008714
59,86.6612,1.24776,0.66095,0.99658,0.90486,0.75654,0.86353,0.50298,1.4391,0.77347,1.06328,0.0008516,0.0008516,0.0008516
60,87.8917,1.29462,0.6852,0.99322,0.92424,0.76818,0.8745,0.5057,1.46026,0.76104,1.07017,0.0008318,0.0008318,0.0008318
61,89.1365,1.26164,0.66238,0.99045,0.9068,0.77396,0.86843,0.51106,1.4107,0.76325,1.05777,0.000812,0.000812,0.000812
62,90.3863,1.23754,0.65245,0.9752,0.90205,0.80227,0.88123,0.51931,1.40753,0.71979,1.05762,0.0007922,0.0007922,0.0007922
63,91.7062,1.2283,0.64427,0.97246,0.91338,0.76693,0.87671,0.52196,1.40713,0.73106,1.06038,0.0007724,0.0007724,0.0007724
64,92.9951,1.23008,0.64039,0.97471,0.90295,0.80682,0.88658,0.53588,1.38496,0.72244,1.04352,0.0007526,0.0007526,0.0007526
65,94.2262,1.21772,0.64636,0.97028,0.95257,0.77605,0.88373,0.52377,1.39805,0.71449,1.04755,0.0007328,0.0007328,0.0007328
66,95.4668,1.21596,0.63693,0.96524,0.91652,0.78636,0.88144,0.52419,1.37947,0.72923,1.04584,0.000713,0.000713,0.000713
67,96.7171,1.22375,0.63551,0.968,0.94053,0.79318,0.89864,0.53589,1.37441,0.70798,1.04409,0.0006932,0.0006932,0.0006932
68,97.9722,1.20635,0.65158,0.96684,0.9258,0.80682,0.89368,0.53729,1.37069,0.70566,1.03851,0.0006734,0.0006734,0.0006734
69,99.2207,1.23209,0.6459,0.97625,0.9349,0.78335,0.88086,0.5003,1.46971,0.74265,1.0671,0.0006536,0.0006536,0.0006536
70,100.514,1.21756,0.6493,0.96836,0.89616,0.80422,0.87664,0.53264,1.36849,0.71844,1.04148,0.0006338,0.0006338,0.0006338
71,101.817,1.19723,0.628,0.95534,0.89644,0.78182,0.87708,0.50942,1.43241,0.72013,1.05523,0.000614,0.000614,0.000614
72,103.088,1.1988,0.62615,0.95458,0.92011,0.78522,0.88253,0.52193,1.40839,0.73513,1.05404,0.0005942,0.0005942,0.0005942
73,104.33,1.19682,0.62448,0.96528,0.92143,0.8,0.8919,0.54014,1.35951,0.69038,1.04397,0.0005744,0.0005744,0.0005744
74,105.574,1.15372,0.60653,0.94389,0.92303,0.79034,0.88979,0.52866,1.39289,0.70903,1.05097,0.0005546,0.0005546,0.0005546
75,106.83,1.16546,0.60799,0.96067,0.93521,0.8,0.89167,0.52426,1.38809,0.70856,1.04414,0.0005348,0.0005348,0.0005348
76,108.086,1.18251,0.60923,0.95233,0.91699,0.81136,0.88763,0.51579,1.41133,0.72961,1.05575,0.000515,0.000515,0.000515
77,109.351,1.15952,0.60934,0.95364,0.91375,0.80227,0.88288,0.53756,1.34397,0.71958,1.04081,0.0004952,0.0004952,0.0004952
78,110.607,1.18294,0.61265,0.96257,0.92305,0.77727,0.8752,0.51017,1.44338,0.73425,1.06626,0.0004754,0.0004754,0.0004754
79,111.87,1.14552,0.5948,0.94291,0.92239,0.81033,0.89382,0.54373,1.32749,0.68856,1.03207,0.0004556,0.0004556,0.0004556
80,113.13,1.17865,0.6004,0.95942,0.89912,0.8,0.88744,0.53553,1.36818,0.69782,1.04364,0.0004358,0.0004358,0.0004358
81,114.39,1.13963,0.58649,0.95596,0.91618,0.80455,0.89615,0.53986,1.36733,0.68674,1.04013,0.000416,0.000416,0.000416
82,115.851,1.14491,0.57953,0.94667,0.88839,0.83218,0.89389,0.55952,1.33122,0.66881,1.03408,0.0003962,0.0003962,0.0003962
83,117.971,1.12481,0.58659,0.94808,0.91897,0.79899,0.88752,0.54007,1.38655,0.68793,1.04518,0.0003764,0.0003764,0.0003764
84,120.072,1.14853,0.59215,0.94664,0.92156,0.81136,0.89762,0.55701,1.33289,0.66148,1.03,0.0003566,0.0003566,0.0003566
85,122.281,1.15297,0.59043,0.95199,0.92996,0.79091,0.90007,0.53938,1.399,0.67456,1.04878,0.0003368,0.0003368,0.0003368
86,124.421,1.11265,0.57818,0.93185,0.93473,0.7812,0.88928,0.54153,1.36894,0.6784,1.04207,0.000317,0.000317,0.000317
87,126.57,1.13164,0.58046,0.93845,0.93065,0.79301,0.88937,0.52688,1.40159,0.69084,1.05023,0.0002972,0.0002972,0.0002972
88,128.693,1.12513,0.57674,0.95104,0.94475,0.79545,0.89221,0.54057,1.3787,0.67944,1.03926,0.0002774,0.0002774,0.0002774
89,130.795,1.11149,0.57785,0.93474,0.92832,0.8,0.89384,0.54324,1.37046,0.67678,1.03762,0.0002576,0.0002576,0.0002576
90,132.119,1.11141,0.57213,0.92572,0.92732,0.81191,0.90193,0.54614,1.36454,0.67198,1.0331,0.0002378,0.0002378,0.0002378
91,134.727,1.09281,0.57344,0.93618,0.92715,0.80988,0.90404,0.55228,1.34189,0.66713,1.02631,0.000218,0.000218,0.000218
92,137.056,1.08165,0.55978,0.92783,0.93323,0.79773,0.89628,0.54202,1.37439,0.67737,1.03523,0.0001982,0.0001982,0.0001982
93,139.268,1.08563,0.56981,0.9304,0.92487,0.80227,0.89501,0.54599,1.35977,0.67371,1.0367,0.0001784,0.0001784,0.0001784
94,141.384,1.10295,0.56291,0.93077,0.93121,0.80682,0.89661,0.54644,1.36607,0.66513,1.04088,0.0001586,0.0001586,0.0001586
95,143.591,1.08878,0.56123,0.93105,0.94136,0.81136,0.89949,0.54459,1.36711,0.66753,1.04088,0.0001388,0.0001388,0.0001388
96,145.702,1.1032,0.57211,0.93777,0.93927,0.80909,0.90011,0.54014,1.38013,0.6761,1.04175,0.000119,0.000119,0.000119
97,147.839,1.07565,0.55008,0.91614,0.92842,0.81818,0.89981,0.53979,1.37541,0.67485,1.04019,9.92e-05,9.92e-05,9.92e-05
98,150.027,1.06421,0.54835,0.92761,0.93672,0.81136,0.89687,0.54766,1.35449,0.66738,1.03206,7.94e-05,7.94e-05,7.94e-05
99,152.243,1.08112,0.54851,0.92531,0.93913,0.80643,0.89332,0.54417,1.36859,0.67293,1.03473,5.96e-05,5.96e-05,5.96e-05
100,154.369,1.09023,0.56621,0.93079,0.93666,0.80655,0.89774,0.54648,1.36783,0.67064,1.03383,3.98e-05,3.98e-05,3.98e-05
