epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82756,2.14669,2.42582,1.33361,0.85419,0.24642,0.4954,0.15879,1.789,2.41654,1.23486,0.000653061,0.000653061,0.000653061
2,7.51312,1.93608,1.63628,1.27171,0.66659,0.65324,0.67521,0.26677,1.82233,1.50011,1.26694,0.00130666,0.00130666,0.00130666
3,10.1542,1.9349,1.67859,1.25136,0.6688,0.5998,0.66461,0.30203,1.72921,1.50748,1.23854,0.00194706,0.00194706,0.00194706
4,12.7207,1.87925,1.62644,1.25718,0.72485,0.64356,0.72759,0.38206,1.60383,1.27815,1.13825,0.0019406,0.0019406,0.0019406
5,15.2889,1.80343,1.48298,1.19644,0.72584,0.64686,0.69935,0.36295,1.66414,1.22276,1.18161,0.0019208,0.0019208,0.0019208
6,17.8676,1.75427,1.36392,1.184,0.83163,0.75798,0.81944,0.41718,1.63182,1.20695,1.14553,0.001901,0.001901,0.001901
7,20.492,1.7671,1.37937,1.19724,0.80779,0.77558,0.83313,0.42943,1.65751,1.06995,1.13944,0.0018812,0.0018812,0.0018812
8,23.035,1.76914,1.24543,1.18726,0.84114,0.73817,0.82866,0.4496,1.57255,0.9917,1.11725,0.0018614,0.0018614,0.0018614
9,25.8665,1.71593,1.21809,1.15384,0.86897,0.75874,0.84565,0.47203,1.54121,0.93827,1.11678,0.0018416,0.0018416,0.0018416
10,29.7761,1.71924,1.16876,1.17769,0.82027,0.73305,0.82543,0.45874,1.54686,1.04524,1.12866,0.0018218,0.0018218,0.0018218
11,33.6436,1.65652,1.06834,1.1388,0.89332,0.77558,0.86726,0.47847,1.55401,0.92981,1.12922,0.001802,0.001802,0.001802
12,38.0851,1.64552,1.05648,1.144,0.85973,0.78328,0.86174,0.50747,1.44234,0.90145,1.06971,0.0017822,0.0017822,0.0017822
13,42.4225,1.65085,1.04737,1.13559,0.88672,0.81848,0.88015,0.50714,1.46342,0.92311,1.07736,0.0017624,0.0017624,0.0017624
14,46.6077,1.58818,0.99867,1.10146,0.88039,0.74499,0.8448,0.47658,1.58606,0.92555,1.14181,0.0017426,0.0017426,0.0017426
15,50.7699,1.60101,0.98712,1.11348,0.90352,0.77668,0.87018,0.46586,1.54763,0.91445,1.11823,0.0017228,0.0017228,0.0017228
16,54.9486,1.60411,0.98654,1.12678,0.86696,0.75276,0.85976,0.49549,1.48196,1.06315,1.08587,0.001703,0.001703,0.001703
17,59.1862,1.63637,0.99818,1.1186,0.8714,0.78768,0.86531,0.45168,1.63001,0.93316,1.14482,0.0016832,0.0016832,0.0016832
18,62.2385,1.57187,0.95646,1.13017,0.88811,0.76348,0.86711,0.48571,1.52659,0.88847,1.12442,0.0016634,0.0016634,0.0016634
19,64.8366,1.59524,0.9601,1.14471,0.91459,0.82466,0.89314,0.48935,1.52727,0.88745,1.10659,0.0016436,0.0016436,0.0016436
20,67.4793,1.52903,0.90453,1.1005,0.8794,0.746,0.85985,0.50339,1.46947,0.8613,1.07838,0.0016238,0.0016238,0.0016238
21,71.4065,1.56667,0.93226,1.12093,0.89201,0.80876,0.88662,0.5022,1.51447,0.8901,1.09909,0.001604,0.001604,0.001604
22,75.4687,1.50131,0.9464,1.08881,0.88634,0.76898,0.86776,0.50903,1.47667,0.85203,1.07277,0.0015842,0.0015842,0.0015842
23,79.6029,1.47691,0.88754,1.0642,0.88954,0.81408,0.88779,0.53211,1.41126,0.81711,1.05023,0.0015644,0.0015644,0.0015644
24,83.8858,1.54059,0.90849,1.08132,0.90791,0.81298,0.88793,0.51239,1.44517,0.86285,1.06063,0.0015446,0.0015446,0.0015446
25,87.7751,1.49421,0.91178,1.07746,0.89127,0.79208,0.88216,0.50457,1.50157,0.86316,1.09242,0.0015248,0.0015248,0.0015248
26,90.4277,1.51667,0.93345,1.09416,0.86953,0.72057,0.83171,0.4819,1.47668,0.96739,1.07735,0.001505,0.001505,0.001505
27,92.9048,1.51519,0.90501,1.0961,0.88101,0.78199,0.87117,0.50952,1.48431,0.87523,1.09575,0.0014852,0.0014852,0.0014852
28,95.3657,1.51409,0.8721,1.08359,0.89254,0.76678,0.86749,0.49382,1.49238,0.89466,1.07983,0.0014654,0.0014654,0.0014654
29,97.9665,1.5196,0.8923,1.10178,0.87662,0.77558,0.86022,0.4836,1.48277,0.91244,1.0744,0.0014456,0.0014456,0.0014456
30,101.44,1.47325,0.86329,1.06891,0.92211,0.80198,0.88998,0.54509,1.38555,0.79014,1.05359,0.0014258,0.0014258,0.0014258
31,105.059,1.60715,0.90632,1.10658,0.84155,0.73377,0.83208,0.45315,1.58558,0.92745,1.10811,0.001406,0.001406,0.001406
32,107.627,1.50405,0.84426,1.07164,0.86941,0.73267,0.8403,0.44117,1.57152,1.02399,1.12102,0.0013862,0.0013862,0.0013862
33,110.144,1.51197,0.85932,1.05669,0.88781,0.80959,0.88208,0.498,1.52524,0.83312,1.09732,0.0013664,0.0013664,0.0013664
34,112.685,1.48069,0.86449,1.05695,0.88557,0.75468,0.86103,0.46173,1.58982,0.88512,1.08862,0.0013466,0.0013466,0.0013466
35,115.232,1.49539,0.82928,1.0492,0.86337,0.76458,0.86441,0.48754,1.5281,0.86328,1.08091,0.0013268,0.0013268,0.0013268
36,117.773,1.55882,0.84401,1.10044,0.89921,0.83058,0.8873,0.47882,1.57174,0.82528,1.11604,0.001307,0.001307,0.001307
37,120.314,1.57008,0.901,1.11251,0.86166,0.78108,0.87174,0.49978,1.45794,0.8292,1.08049,0.0012872,0.0012872,0.0012872
38,123.021,1.46062,0.80575,1.06283,0.90591,0.79428,0.8981,0.52249,1.43124,0.77864,1.05506,0.0012674,0.0012674,0.0012674
39,125.62,1.43316,0.78065,1.04598,0.88864,0.78438,0.87164,0.50833,1.46347,0.83279,1.06137,0.0012476,0.0012476,0.0012476
40,128.15,1.41297,0.78347,1.04217,0.84495,0.74917,0.8417,0.43066,1.67396,0.8795,1.13012,0.0012278,0.0012278,0.0012278
41,130.661,1.45018,0.78389,1.04755,0.89736,0.79833,0.8836,0.47734,1.60776,0.84294,1.11314,0.001208,0.001208,0.001208
42,133.248,1.43837,0.77307,1.04836,0.89357,0.82202,0.89588,0.52151,1.44515,0.81867,1.071,0.0011882,0.0011882,0.0011882
43,135.82,1.46291,0.78665,1.06209,0.92083,0.82178,0.89365,0.51479,1.47741,0.75659,1.08169,0.0011684,0.0011684,0.0011684
44,138.407,1.47233,0.77986,1.06082,0.90333,0.80528,0.88862,0.53293,1.39271,0.80056,1.04836,0.0011486,0.0011486,0.0011486
45,140.982,1.35914,0.73306,1.01796,0.89442,0.80146,0.89651,0.54172,1.40169,0.77031,1.04635,0.0011288,0.0011288,0.0011288
46,143.533,1.36468,0.72481,1.0289,0.89345,0.81628,0.89533,0.54022,1.42549,0.76465,1.05748,0.001109,0.001109,0.001109
47,146.076,1.35477,0.70818,1.02353,0.89943,0.78706,0.88348,0.50512,1.49391,0.79375,1.08364,0.0010892,0.0010892,0.0010892
48,148.586,1.32457,0.70458,1.00735,0.88835,0.78548,0.87714,0.48093,1.58276,0.82895,1.1079,0.0010694,0.0010694,0.0010694
49,151.125,1.41702,0.74002,1.02937,0.89231,0.83168,0.90009,0.55246,1.4091,0.74061,1.05907,0.0010496,0.0010496,0.0010496
50,153.706,1.38065,0.74614,1.03344,0.91106,0.83828,0.90514,0.54733,1.38062,0.75417,1.04228,0.0010298,0.0010298,0.0010298
51,157.265,1.34876,0.71035,1.0163,0.89852,0.80638,0.89366,0.5298,1.41482,0.77266,1.05824,0.00101,0.00101,0.00101
52,161.373,1.36224,0.70856,1.02123,0.86002,0.78658,0.86371,0.48285,1.55288,0.81078,1.09796,0.0009902,0.0009902,0.0009902
53,165.511,1.33102,0.70085,1.01141,0.91651,0.77888,0.88966,0.51528,1.502,0.78342,1.07774,0.0009704,0.0009704,0.0009704
54,169.091,1.38006,0.71769,1.01883,0.89748,0.78972,0.88593,0.51102,1.4865,0.76721,1.07998,0.0009506,0.0009506,0.0009506
55,173.246,1.37095,0.69933,1.01005,0.90054,0.82838,0.90096,0.5189,1.45741,0.77297,1.06274,0.0009308,0.0009308,0.0009308
56,177.283,1.3514,0.70399,1.01968,0.89105,0.80077,0.88887,0.52013,1.44652,0.78626,1.06907,0.000911,0.000911,0.000911
57,181.318,1.28112,0.66801,1.00029,0.90203,0.78108,0.88132,0.48308,1.57106,0.79241,1.09133,0.0008912,0.0008912,0.0008912
58,185.414,1.31389,0.69069,1.00071,0.92605,0.81279,0.89775,0.52175,1.44482,0.7419,1.06851,0.0008714,0.0008714,0.0008714
59,189.547,1.30043,0.66328,0.99958,0.90098,0.83086,0.90563,0.54031,1.3905,0.78133,1.05483,0.0008516,0.0008516,0.0008516
60,193.696,1.31036,0.66622,0.99453,0.91189,0.82728,0.90515,0.55424,1.37002,0.71937,1.03514,0.0008318,0.0008318,0.0008318
61,198.084,1.26319,0.64891,0.9828,0.93299,0.79758,0.90054,0.54401,1.40815,0.73352,1.04832,0.000812,0.000812,0.000812
62,202.27,1.29296,0.65832,0.9908,0.88887,0.80953,0.8895,0.52139,1.44747,0.75851,1.07518,0.0007922,0.0007922,0.0007922
63,206.336,1.24979,0.63669,0.98247,0.9238,0.8136,0.90883,0.55542,1.3861,0.7032,1.0506,0.0007724,0.0007724,0.0007724
64,209.571,1.2526,0.65155,0.96745,0.93037,0.80844,0.90575,0.55865,1.37927,0.71818,1.03715,0.0007526,0.0007526,0.0007526
65,212.654,1.20774,0.63518,0.9727,0.89247,0.81958,0.88936,0.52999,1.40733,0.72867,1.05101,0.0007328,0.0007328,0.0007328
66,216.741,1.23452,0.62569,0.96297,0.88343,0.80088,0.88464,0.51142,1.49101,0.75969,1.07188,0.000713,0.000713,0.000713
67,220.863,1.2024,0.62335,0.95897,0.90696,0.79428,0.88798,0.50229,1.54476,0.77261,1.08777,0.0006932,0.0006932,0.0006932
68,224.937,1.2277,0.63058,0.97446,0.89556,0.82066,0.89299,0.5133,1.46576,0.74372,1.06646,0.0006734,0.0006734,0.0006734
69,229.051,1.2661,0.63179,0.97591,0.928,0.80528,0.90205,0.56012,1.36186,0.70407,1.0367,0.0006536,0.0006536,0.0006536
70,233.153,1.31914,0.64799,0.99264,0.91915,0.81289,0.9011,0.54969,1.38847,0.70038,1.0382,0.0006338,0.0006338,0.0006338
71,237.294,1.25608,0.63227,0.97591,0.88574,0.79538,0.87455,0.48699,1.54504,0.78644,1.10043,0.000614,0.000614,0.000614
72,241.332,1.21089,0.60023,0.95637,0.92018,0.82436,0.90229,0.5439,1.40308,0.71592,1.04169,0.0005942,0.0005942,0.0005942
73,245.131,1.1943,0.59773,0.952,0.89515,0.80858,0.89554,0.54349,1.38934,0.72293,1.046,0.0005744,0.0005744,0.0005744
74,249.284,1.187,0.60069,0.95237,0.91427,0.84473,0.90379,0.55517,1.34861,0.70009,1.03356,0.0005546,0.0005546,0.0005546
75,253.331,1.19004,0.60092,0.95254,0.91262,0.80431,0.89569,0.53934,1.42141,0.71185,1.06071,0.0005348,0.0005348,0.0005348
76,257.322,1.1592,0.58824,0.9497,0.91759,0.82728,0.90583,0.5484,1.41234,0.70696,1.05235,0.000515,0.000515,0.000515
77,261.113,1.14231,0.58253,0.94136,0.93312,0.81346,0.90459,0.55534,1.37359,0.69821,1.02984,0.0004952,0.0004952,0.0004952
78,265.224,1.15584,0.58102,0.94477,0.92438,0.83375,0.91271,0.56613,1.35247,0.67257,1.03372,0.0004754,0.0004754,0.0004754
79,268.984,1.1343,0.58091,0.94642,0.91928,0.83608,0.90748,0.55228,1.37516,0.69072,1.03735,0.0004556,0.0004556,0.0004556
80,272.221,1.1345,0.57001,0.94225,0.88766,0.77118,0.86917,0.47481,1.60876,0.77884,1.11041,0.0004358,0.0004358,0.0004358
81,276.184,1.14576,0.58484,0.94206,0.93136,0.83498,0.90477,0.53955,1.45264,0.69293,1.05943,0.000416,0.000416,0.000416
82,280.519,1.12571,0.56118,0.94047,0.91075,0.84268,0.90949,0.55838,1.36705,0.67921,1.04023,0.0003962,0.0003962,0.0003962
83,284.597,1.10594,0.55978,0.93079,0.91219,0.83608,0.90712,0.54174,1.41454,0.69713,1.04939,0.0003764,0.0003764,0.0003764
84,288.681,1.07684,0.55155,0.92539,0.88998,0.79318,0.87909,0.49745,1.544,0.74986,1.0911,0.0003566,0.0003566,0.0003566
85,292.882,1.10539,0.55608,0.92903,0.91393,0.82939,0.89931,0.52935,1.45309,0.71107,1.06453,0.0003368,0.0003368,0.0003368
86,296.977,1.10826,0.55531,0.93336,0.94288,0.81714,0.91141,0.56975,1.35395,0.66831,1.03459,0.000317,0.000317,0.000317
87,301.102,1.0902,0.54971,0.92393,0.90892,0.82508,0.90024,0.53877,1.40947,0.70479,1.04713,0.0002972,0.0002972,0.0002972
88,305.31,1.07279,0.54862,0.92685,0.91454,0.80748,0.89574,0.52495,1.48511,0.71746,1.0678,0.0002774,0.0002774,0.0002774
89,309.353,1.06973,0.54297,0.91871,0.9134,0.83058,0.90141,0.54163,1.41262,0.69593,1.05429,0.0002576,0.0002576,0.0002576
90,313.424,1.06388,0.5432,0.91825,0.92042,0.81958,0.90327,0.54522,1.4064,0.69065,1.04534,0.0002378,0.0002378,0.0002378
91,318.625,1.06615,0.54818,0.92166,0.92083,0.81892,0.91007,0.54281,1.43312,0.70044,1.04995,0.000218,0.000218,0.000218
92,322.796,1.06726,0.53973,0.91601,0.91534,0.82288,0.90145,0.52667,1.44943,0.70255,1.06032,0.0001982,0.0001982,0.0001982
93,326.942,1.03253,0.52827,0.9134,0.90999,0.82948,0.90723,0.54923,1.39163,0.67766,1.04428,0.0001784,0.0001784,0.0001784
94,331.109,1.03093,0.52795,0.91378,0.91497,0.82178,0.90714,0.55111,1.38448,0.68088,1.04073,0.0001586,0.0001586,0.0001586
95,335.297,1.04145,0.52843,0.91326,0.92491,0.81298,0.90527,0.5393,1.42743,0.69739,1.05366,0.0001388,0.0001388,0.0001388
96,339.44,1.03287,0.52523,0.91432,0.9305,0.82178,0.91164,0.5517,1.38963,0.67972,1.04064,0.000119,0.000119,0.000119
97,343.672,1.02275,0.52084,0.90894,0.92456,0.81518,0.90334,0.53777,1.43514,0.69504,1.0544,9.92e-05,9.92e-05,9.92e-05
98,347.852,1.0312,0.52178,0.91364,0.92997,0.81816,0.90702,0.54322,1.4164,0.69033,1.04808,7.94e-05,7.94e-05,7.94e-05
99,350.953,1.0345,0.52005,0.91009,0.92402,0.81958,0.90492,0.53666,1.43128,0.69291,1.0524,5.96e-05,5.96e-05,5.96e-05
100,353.452,1.00432,0.51176,0.90584,0.92188,0.82288,0.90732,0.54002,1.42224,0.68842,1.05001,3.98e-05,3.98e-05,3.98e-05
