epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3242,2.57559,2.94948,1.20001,0.54314,0.07069,0.08829,0.03852,2.50732,2.55571,1.18808,0.000661538,0.000661538,0.000661538
2,22.4511,2.43027,2.20695,1.15113,0.31444,0.16362,0.13182,0.05161,2.62872,1.90622,1.22117,0.00131506,0.00131506,0.00131506
3,32.7322,2.50462,2.15993,1.17662,0.25104,0.20254,0.13402,0.04876,2.63938,2.3699,1.22596,0.00195537,0.00195537,0.00195537
4,42.6325,2.48258,2.11022,1.1702,0.17365,0.36219,0.23942,0.097,2.53762,2.54552,1.1321,0.0019406,0.0019406,0.0019406
5,52.0607,2.42764,1.9812,1.1509,0.3761,0.18745,0.19587,0.0785,2.44974,1.89394,1.10649,0.0019208,0.0019208,0.0019208
6,61.9805,2.36932,1.87521,1.12968,0.40405,0.20413,0.21464,0.0808,2.58178,1.83325,1.16301,0.001901,0.001901,0.001901
7,71.6398,2.35495,1.87491,1.11772,0.31317,0.20969,0.17744,0.06692,2.57834,1.7191,1.17244,0.0018812,0.0018812,0.0018812
8,82.0399,2.30414,1.82672,1.11317,0.38898,0.24146,0.22835,0.08721,2.4808,1.56305,1.13041,0.0018614,0.0018614,0.0018614
9,93.5755,2.28242,1.73538,1.10461,0.42751,0.28648,0.24825,0.08877,2.51234,1.45982,1.13332,0.0018416,0.0018416,0.0018416
10,105.141,2.26564,1.64116,1.0981,0.47297,0.33836,0.32111,0.10874,2.45392,1.49981,1.10275,0.0018218,0.0018218,0.0018218
11,115.382,2.22333,1.58471,1.08653,0.3867,0.25655,0.21284,0.07278,2.74875,1.51713,1.22712,0.001802,0.001802,0.001802
12,125.994,2.21628,1.55862,1.07292,0.47465,0.34472,0.31389,0.10915,2.45574,1.34956,1.10885,0.0017822,0.0017822,0.0017822
13,136.521,2.20498,1.5296,1.06634,0.42513,0.35902,0.32956,0.12407,2.31571,1.34619,1.07619,0.0017624,0.0017624,0.0017624
14,147.365,2.15968,1.46578,1.06333,0.4945,0.40985,0.39333,0.14812,2.25725,1.27294,1.03979,0.0017426,0.0017426,0.0017426
15,158.349,2.1772,1.41675,1.06645,0.51055,0.39079,0.3839,0.13293,2.42194,1.28884,1.09657,0.0017228,0.0017228,0.0017228
16,167.935,2.13333,1.38879,1.05552,0.4999,0.38205,0.36334,0.13122,2.39937,1.22812,1.1091,0.001703,0.001703,0.001703
17,177.496,2.13694,1.3708,1.06332,0.50823,0.43288,0.39458,0.14053,2.33131,1.26423,1.06646,0.0016832,0.0016832,0.0016832
18,187.542,2.13677,1.39771,1.04853,0.51437,0.39635,0.384,0.14444,2.28061,1.2629,1.06111,0.0016634,0.0016634,0.0016634
19,197.299,2.11734,1.35912,1.05078,0.46336,0.358,0.36014,0.13669,2.27844,1.40374,1.04906,0.0016436,0.0016436,0.0016436
20,207.031,2.0497,1.37077,1.02806,0.5046,0.32566,0.3564,0.13157,2.42262,1.46954,1.09882,0.0016238,0.0016238,0.0016238
21,216.87,2.0895,1.39607,1.03264,0.51646,0.39476,0.39294,0.1405,2.23089,1.25017,1.00728,0.001604,0.001604,0.001604
22,226.956,2.10365,1.29458,1.03487,0.5628,0.4458,0.45321,0.17443,2.16844,1.21148,1.03435,0.0015842,0.0015842,0.0015842
23,236.6,2.1031,1.27936,1.03776,0.5127,0.38523,0.41744,0.16211,2.20097,1.39357,1.0278,0.0015644,0.0015644,0.0015644
24,246.231,2.03933,1.23913,1.0237,0.59436,0.44225,0.47781,0.18201,2.15831,1.1999,1.0224,0.0015446,0.0015446,0.0015446
25,255.931,2.03453,1.1899,1.02103,0.57921,0.48928,0.49261,0.19532,2.08598,1.13594,1.00468,0.0015248,0.0015248,0.0015248
26,265.687,2.05943,1.21042,1.03169,0.54885,0.46783,0.46648,0.17358,2.18995,1.12647,1.02856,0.001505,0.001505,0.001505
27,275.623,2.12131,1.21111,1.03587,0.59529,0.47657,0.51012,0.19917,2.09156,1.19067,1.00513,0.0014852,0.0014852,0.0014852
28,285.451,2.032,1.21036,1.01935,0.56209,0.48451,0.4952,0.19259,2.10318,1.1199,1.00264,0.0014654,0.0014654,0.0014654
29,295.394,2.02806,1.17591,1.02699,0.54539,0.42403,0.45638,0.18203,2.12422,1.28882,1.00687,0.0014456,0.0014456,0.0014456
30,304.496,2.03153,1.21845,1.02257,0.57636,0.44953,0.48164,0.1875,2.15263,1.28223,1.00408,0.0014258,0.0014258,0.0014258
31,314.485,1.98953,1.15977,1.01096,0.5311,0.46227,0.47443,0.18445,2.13067,1.2874,1.00112,0.001406,0.001406,0.001406
32,325.014,1.96779,1.14394,0.99928,0.46738,0.38999,0.3939,0.14834,2.25949,1.38537,1.00725,0.0013862,0.0013862,0.0013862
33,337.522,1.95441,1.11808,0.99958,0.5629,0.45007,0.46211,0.17796,2.09898,1.18495,0.99983,0.0013664,0.0013664,0.0013664
34,347.784,1.93351,1.08983,0.99316,0.60567,0.49325,0.51317,0.19839,2.06449,1.11107,0.98691,0.0013466,0.0013466,0.0013466
35,358.941,1.90604,1.06653,0.98565,0.60965,0.46147,0.50003,0.1981,2.08376,1.24603,0.98239,0.0013268,0.0013268,0.0013268
36,368.146,1.90949,1.06969,0.98674,0.57639,0.48769,0.51792,0.20478,2.06426,1.16833,0.98223,0.001307,0.001307,0.001307
37,377.735,1.89868,1.07627,0.98295,0.61775,0.47021,0.51472,0.19816,2.06643,1.10548,0.98138,0.0012872,0.0012872,0.0012872
38,387.933,1.89775,1.03481,0.98595,0.62015,0.47202,0.50142,0.19397,2.08699,1.09459,0.99669,0.0012674,0.0012674,0.0012674
