epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.42584,2.5819,3.03334,1.2156,0.77764,0.04722,0.10162,0.04263,2.45351,2.82838,1.1586,0.000659176,0.000659176,0.000659176
2,15.6688,2.45847,2.26785,1.17551,0.26026,0.21128,0.14031,0.0534,2.68863,2.87814,1.28401,0.00131272,0.00131272,0.00131272
3,22.7298,2.48964,2.18362,1.17103,0.25311,0.14932,0.11809,0.04839,2.65915,2.27649,1.23624,0.00195306,0.00195306,0.00195306
4,29.6744,2.46749,2.06482,1.16716,0.36766,0.10802,0.11957,0.04736,2.50994,2.56163,1.12766,0.0019406,0.0019406,0.0019406
5,36.4845,2.43254,1.99714,1.16641,0.32845,0.21211,0.18668,0.06683,2.56181,1.84346,1.14266,0.0019208,0.0019208,0.0019208
6,43.2629,2.35038,1.88683,1.11926,0.34772,0.19773,0.16692,0.05866,2.66387,1.75471,1.19792,0.001901,0.001901,0.001901
7,51.4739,2.30751,1.82724,1.11903,0.48741,0.17712,0.24138,0.10046,2.47843,2.23261,1.12683,0.0018812,0.0018812,0.0018812
8,59.4133,2.36411,1.75131,1.12682,0.4185,0.30354,0.2641,0.09396,2.53177,1.50712,1.14828,0.0018614,0.0018614,0.0018614
9,67.177,2.32114,1.68357,1.11053,0.48482,0.23987,0.27342,0.09756,2.51859,1.57754,1.11927,0.0018416,0.0018416,0.0018416
10,75.3385,2.3139,1.79193,1.11239,0.43748,0.3336,0.33132,0.12046,2.34091,1.49047,1.055,0.0018218,0.0018218,0.0018218
11,82.43,2.23639,1.65231,1.08388,0.45712,0.33757,0.33338,0.12123,2.34147,1.54637,1.05281,0.001802,0.001802,0.001802
12,90.583,2.17919,1.51205,1.07491,0.45066,0.36219,0.33232,0.12266,2.39614,1.36594,1.09977,0.0017822,0.0017822,0.0017822
13,97.9767,2.2518,1.48388,1.07907,0.46065,0.37108,0.36439,0.13661,2.28759,1.39102,1.03858,0.0017624,0.0017624,0.0017624
14,104.49,2.19864,1.44486,1.07868,0.47975,0.31771,0.34425,0.12861,2.30951,1.53818,1.04811,0.0017426,0.0017426,0.0017426
15,110.575,2.18172,1.43779,1.06915,0.46339,0.34631,0.3449,0.13471,2.31841,1.32071,1.05001,0.0017228,0.0017228,0.0017228
16,117.067,2.13586,1.37391,1.05795,0.52537,0.35266,0.38738,0.14884,2.25519,1.63915,1.03098,0.001703,0.001703,0.001703
17,123.35,2.1049,1.37042,1.03827,0.49115,0.39793,0.41455,0.16465,2.19186,1.30786,1.03286,0.0016832,0.0016832,0.0016832
18,130.351,2.1397,1.37886,1.04163,0.43905,0.37808,0.37583,0.14616,2.22804,1.34019,1.01973,0.0016634,0.0016634,0.0016634
19,137.485,2.09662,1.32726,1.03421,0.48439,0.41303,0.40163,0.13878,2.29221,1.26237,1.02621,0.0016436,0.0016436,0.0016436
20,144.531,2.09277,1.27029,1.03144,0.56889,0.44545,0.45704,0.18412,2.11836,1.28274,1.00741,0.0016238,0.0016238,0.0016238
21,151.614,2.02551,1.22895,1.02769,0.54039,0.42573,0.43922,0.17493,2.15351,1.31279,1.01274,0.001604,0.001604,0.001604
22,159.105,2.00923,1.22962,1.01822,0.48337,0.39833,0.39227,0.14586,2.27181,1.24097,1.00795,0.0015842,0.0015842,0.0015842
23,166.835,2.0267,1.23682,1.02269,0.51364,0.42025,0.43256,0.16648,2.19419,1.24732,1.01171,0.0015644,0.0015644,0.0015644
24,174.211,2.00376,1.16603,1.01187,0.57642,0.47018,0.47264,0.18466,2.16358,1.11532,1.02011,0.0015446,0.0015446,0.0015446
25,182.794,1.99645,1.16795,1.01869,0.58794,0.50659,0.51958,0.20511,2.05707,1.13658,0.99349,0.0015248,0.0015248,0.0015248
26,190.771,2.02569,1.17651,1.01514,0.59507,0.45751,0.49018,0.19707,2.06739,1.14532,1.0007,0.001505,0.001505,0.001505
27,198.343,2.00537,1.14519,1.00879,0.54554,0.40032,0.41607,0.16299,2.17236,1.39124,1.01753,0.0014852,0.0014852,0.0014852
28,205.34,1.9916,1.1445,1.01484,0.59285,0.45989,0.49474,0.1952,2.07138,1.15885,0.99049,0.0014654,0.0014654,0.0014654
29,212.301,1.9763,1.13793,1.00368,0.57396,0.47736,0.4782,0.18146,2.16687,1.18428,1.01198,0.0014456,0.0014456,0.0014456
30,219.797,1.95911,1.14886,1.00246,0.56795,0.47021,0.46956,0.18006,2.14802,1.11741,1.02631,0.0014258,0.0014258,0.0014258
