epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62679,2.49194,3.05175,1.13919,0.00434,0.11339,0.0154,0.00571,2.61132,3.54387,1.02495,0.000549129,0.000549129,0.000549129
2,14.4902,2.29481,2.02567,1.06892,0.28045,0.19293,0.17607,0.06156,2.554,1.97526,1.02958,0.00109386,0.00109386,0.00109386
3,19.7575,2.27319,1.7855,1.06652,0.33936,0.24432,0.21812,0.07963,2.51933,1.69612,0.99629,0.00162759,0.00162759,0.00162759
4,25.2457,2.21832,1.6196,1.05387,0.32267,0.30665,0.22946,0.08623,2.55589,1.45235,1.03062,0.00161749,0.00161749,0.00161749
5,31.0033,2.21642,1.52895,1.03984,0.24837,0.30097,0.21439,0.07383,2.55907,1.83032,1.02348,0.00160099,0.00160099,0.00160099
6,36.7708,2.17662,1.43019,1.04266,0.4255,0.31621,0.28046,0.1075,2.47703,1.42796,1.02229,0.00158448,0.00158448,0.00158448
7,42.5313,2.11316,1.34847,1.02361,0.35946,0.33437,0.27711,0.1055,2.47062,1.4152,1.00388,0.00156798,0.00156798,0.00156798
8,48.2167,2.06711,1.31073,1.01336,0.32521,0.26062,0.22013,0.07513,2.48331,1.6974,0.98034,0.00155148,0.00155148,0.00155148
9,53.8155,2.09402,1.28076,1.01679,0.21987,0.28195,0.19343,0.07271,2.71907,1.50827,1.0262,0.00153497,0.00153497,0.00153497
10,59.1715,2.05606,1.25451,1.01225,0.37253,0.40176,0.33728,0.13591,2.31808,1.34581,0.96424,0.00151847,0.00151847,0.00151847
11,64.8881,2.06966,1.25982,1.01059,0.47982,0.32518,0.32935,0.13376,2.28219,1.32892,0.97544,0.00150197,0.00150197,0.00150197
12,69.8815,2.01417,1.20645,0.99879,0.3911,0.47225,0.36391,0.15127,2.27465,1.27675,0.96168,0.00148546,0.00148546,0.00148546
13,75.1479,1.99555,1.19901,0.99353,0.32982,0.43016,0.34131,0.14562,2.27517,1.298,0.96646,0.00146896,0.00146896,0.00146896
14,80.8709,1.99823,1.19071,0.99952,0.39772,0.45654,0.34158,0.13424,2.38047,1.36476,0.9783,0.00145246,0.00145246,0.00145246
15,85.9738,1.98013,1.16029,0.99157,0.29596,0.53796,0.3398,0.14167,2.24118,1.27162,0.9616,0.00143595,0.00143595,0.00143595
16,90.71,1.98364,1.16133,0.99023,0.36036,0.33448,0.32227,0.12778,2.25864,1.23824,0.96104,0.00141945,0.00141945,0.00141945
17,95.4629,1.96472,1.13585,0.98965,0.43477,0.48048,0.35398,0.14129,2.26308,1.3315,0.95399,0.00140295,0.00140295,0.00140295
18,100.255,1.93202,1.1142,0.98442,0.44603,0.34252,0.3442,0.15039,2.14241,1.26096,0.9388,0.00138644,0.00138644,0.00138644
19,105.63,1.95196,1.12739,0.98092,0.42502,0.40896,0.35713,0.14566,2.22561,1.24656,0.95387,0.00136994,0.00136994,0.00136994
20,110.428,1.9565,1.11169,0.98321,0.43109,0.48888,0.40973,0.16986,2.18334,1.25953,0.94056,0.00135344,0.00135344,0.00135344
21,115.212,1.94797,1.10917,0.97935,0.39049,0.39682,0.33951,0.13252,2.21992,1.29223,0.94677,0.00133693,0.00133693,0.00133693
22,119.984,1.9125,1.07128,0.9782,0.34936,0.5402,0.39152,0.16104,2.18624,1.23884,0.94317,0.00132043,0.00132043,0.00132043
23,124.749,1.89986,1.07451,0.97257,0.41594,0.51985,0.38931,0.15848,2.18165,1.1861,0.94121,0.00130393,0.00130393,0.00130393
24,129.494,1.89768,1.06673,0.96936,0.39804,0.49639,0.38475,0.15521,2.19811,1.20513,0.94782,0.00128742,0.00128742,0.00128742
25,134.311,1.8769,1.05387,0.97644,0.51548,0.43009,0.41262,0.16161,2.18877,1.25519,0.94147,0.00127092,0.00127092,0.00127092
26,139.052,1.89403,1.05055,0.96562,0.47435,0.39081,0.40162,0.16559,2.16852,1.16737,0.93415,0.00125442,0.00125442,0.00125442
27,143.79,1.87246,1.05591,0.96365,0.38936,0.48174,0.37717,0.15799,2.12496,1.2773,0.93571,0.00123791,0.00123791,0.00123791
28,148.548,1.85109,1.03534,0.96373,0.41705,0.50393,0.42371,0.18084,2.14889,1.1679,0.93754,0.00122141,0.00122141,0.00122141
29,153.301,1.88474,1.01323,0.96132,0.45968,0.5821,0.43636,0.17599,2.15431,1.20741,0.93387,0.00120491,0.00120491,0.00120491
30,158.034,1.86683,1.02103,0.97366,0.52735,0.45178,0.44467,0.1892,2.17342,1.18522,0.93368,0.0011884,0.0011884,0.0011884
31,162.767,1.85828,1.0173,0.96718,0.36752,0.52549,0.37988,0.16157,2.17152,1.16408,0.94212,0.0011719,0.0011719,0.0011719
32,167.8,1.83935,1.00286,0.9571,0.445,0.53294,0.43665,0.18206,2.1296,1.13443,0.92996,0.0011554,0.0011554,0.0011554
33,172.786,1.83196,0.99796,0.95771,0.44035,0.52709,0.42921,0.17404,2.14638,1.154,0.93878,0.00113889,0.00113889,0.00113889
34,177.854,1.84315,0.99725,0.95623,0.54329,0.497,0.46208,0.20467,2.18599,1.14813,0.94009,0.00112239,0.00112239,0.00112239
35,182.926,1.86789,1.01227,0.96099,0.39789,0.55921,0.44121,0.18716,2.1325,1.18987,0.9344,0.00110589,0.00110589,0.00110589
36,187.937,1.83794,0.99781,0.94816,0.54501,0.4261,0.45699,0.19072,2.11543,1.13438,0.93243,0.00108938,0.00108938,0.00108938
37,192.996,1.823,0.98967,0.95623,0.47152,0.50908,0.4439,0.17752,2.12717,1.14176,0.93573,0.00107288,0.00107288,0.00107288
38,197.991,1.80683,0.97942,0.9531,0.50685,0.59708,0.49232,0.21013,2.09183,1.11545,0.93239,0.00105638,0.00105638,0.00105638
39,203.039,1.80427,0.96,0.94852,0.63683,0.50169,0.518,0.2281,2.1026,1.10708,0.93179,0.00103987,0.00103987,0.00103987
40,207.864,1.79277,0.96236,0.9441,0.53533,0.56489,0.48491,0.20528,2.11031,1.13469,0.93217,0.00102337,0.00102337,0.00102337
41,212.574,1.78742,0.95277,0.94756,0.58385,0.53706,0.50781,0.2237,2.06698,1.09471,0.92829,0.00100687,0.00100687,0.00100687
42,217.311,1.79098,0.95209,0.94292,0.52953,0.56094,0.50363,0.22421,2.14793,1.13395,0.93417,0.000990365,0.000990365,0.000990365
43,222.072,1.76912,0.94699,0.94132,0.5134,0.55415,0.48736,0.21869,2.134,1.11621,0.93299,0.000973861,0.000973861,0.000973861
44,226.751,1.78187,0.94189,0.94052,0.56076,0.57877,0.49246,0.21802,2.15102,1.09371,0.93496,0.000957358,0.000957358,0.000957358
45,231.473,1.78594,0.95144,0.94626,0.57668,0.58267,0.51557,0.24466,2.05677,1.15208,0.92308,0.000940855,0.000940855,0.000940855
46,236.177,1.73714,0.92196,0.94349,0.55065,0.59258,0.5094,0.22507,2.1121,1.10649,0.93012,0.000924352,0.000924352,0.000924352
47,240.515,1.7523,0.92322,0.94119,0.6378,0.57041,0.5171,0.23771,2.08597,1.07453,0.92532,0.000907848,0.000907848,0.000907848
48,244.945,1.77049,0.92835,0.93104,0.61056,0.62681,0.52797,0.23803,2.09542,1.14161,0.93155,0.000891345,0.000891345,0.000891345
49,249.382,1.74367,0.91901,0.94018,0.59804,0.57131,0.53037,0.22049,2.04832,1.09893,0.92215,0.000874842,0.000874842,0.000874842
50,253.786,1.73759,0.91122,0.93233,0.50253,0.61782,0.51071,0.21552,2.08535,1.0913,0.92866,0.000858338,0.000858338,0.000858338
51,258.314,1.72868,0.91094,0.93346,0.6327,0.58745,0.53227,0.26146,2.07143,1.08036,0.92468,0.000841835,0.000841835,0.000841835
52,263.08,1.7278,0.91195,0.93156,0.55021,0.59959,0.50557,0.24325,2.11967,1.07976,0.9259,0.000825332,0.000825332,0.000825332
53,267.782,1.74158,0.91781,0.93269,0.62026,0.59165,0.52992,0.24157,2.0932,1.09208,0.92753,0.000808828,0.000808828,0.000808828
54,272.49,1.71675,0.90354,0.92908,0.61255,0.60005,0.52028,0.24479,2.06575,1.06625,0.92447,0.000792325,0.000792325,0.000792325
55,277.231,1.69281,0.88464,0.928,0.5637,0.62236,0.52043,0.24341,2.05857,1.0897,0.92891,0.000775822,0.000775822,0.000775822
56,281.948,1.68412,0.87923,0.92698,0.56712,0.5891,0.5126,0.24454,2.06899,1.06789,0.92724,0.000759318,0.000759318,0.000759318
57,286.662,1.70753,0.8943,0.93398,0.57007,0.62475,0.50736,0.22454,2.08233,1.07025,0.92788,0.000742815,0.000742815,0.000742815
58,291.386,1.72642,0.8955,0.93404,0.53999,0.56471,0.48674,0.22134,2.10125,1.08117,0.9325,0.000726312,0.000726312,0.000726312
59,296.082,1.67973,0.88075,0.93056,0.58272,0.58947,0.5172,0.24898,2.0747,1.08137,0.92496,0.000709809,0.000709809,0.000709809
60,300.775,1.69198,0.86894,0.92508,0.55105,0.5648,0.52433,0.23269,2.07122,1.07513,0.92698,0.000693305,0.000693305,0.000693305
61,305.5,1.70991,0.87956,0.92338,0.54137,0.56579,0.52749,0.24312,2.10708,1.05118,0.93163,0.000676802,0.000676802,0.000676802
62,310.187,1.6842,0.87537,0.92424,0.63011,0.60013,0.54164,0.25191,2.06431,1.07101,0.92603,0.000660299,0.000660299,0.000660299
63,315.527,1.66749,0.86569,0.92669,0.56299,0.56637,0.51528,0.24531,2.16352,1.08252,0.93335,0.000643795,0.000643795,0.000643795
64,321.255,1.65897,0.85772,0.92098,0.63198,0.57887,0.55593,0.2622,2.07116,1.07301,0.92583,0.000627292,0.000627292,0.000627292
65,326.951,1.67599,0.86651,0.9222,0.62032,0.5191,0.5203,0.25399,2.11988,1.06456,0.92969,0.000610789,0.000610789,0.000610789
66,332.621,1.67674,0.85824,0.9176,0.58829,0.63781,0.54117,0.25307,2.06877,1.07456,0.92644,0.000594286,0.000594286,0.000594286
67,338.27,1.64098,0.83528,0.92039,0.58214,0.64065,0.52789,0.24407,2.05458,1.04025,0.92997,0.000577782,0.000577782,0.000577782
68,343.946,1.63777,0.84441,0.91306,0.52427,0.5934,0.52111,0.23524,2.07947,1.05876,0.92756,0.000561279,0.000561279,0.000561279
69,349.587,1.65722,0.84802,0.92424,0.63792,0.61397,0.54461,0.25479,2.08864,1.04569,0.92948,0.000544776,0.000544776,0.000544776
70,355.234,1.63567,0.83617,0.91679,0.60267,0.60746,0.55659,0.27391,2.04781,1.04324,0.92342,0.000528272,0.000528272,0.000528272
71,361.038,1.65525,0.84461,0.92177,0.56904,0.6388,0.55983,0.2571,2.07574,1.0409,0.92829,0.000511769,0.000511769,0.000511769
72,366.662,1.63836,0.82682,0.91643,0.63518,0.5877,0.52611,0.25361,2.06734,1.032,0.92418,0.000495266,0.000495266,0.000495266
73,372.333,1.62581,0.82313,0.91246,0.57806,0.5986,0.49154,0.22648,2.10518,1.05431,0.93151,0.000478762,0.000478762,0.000478762
74,377.637,1.60354,0.82397,0.90683,0.62189,0.59412,0.53625,0.24314,2.08103,1.04096,0.9316,0.000462259,0.000462259,0.000462259
75,382.364,1.60365,0.81432,0.91236,0.64812,0.59036,0.53911,0.25833,2.08129,1.04453,0.92963,0.000445756,0.000445756,0.000445756
76,387.073,1.62097,0.82301,0.90933,0.60342,0.62978,0.54756,0.2551,2.04879,1.0389,0.9258,0.000429253,0.000429253,0.000429253
77,391.768,1.61743,0.8232,0.91095,0.57598,0.62767,0.5275,0.24725,2.07729,1.05532,0.93027,0.000412749,0.000412749,0.000412749
78,396.482,1.59086,0.81412,0.90866,0.6208,0.60355,0.5457,0.25321,2.06122,1.01952,0.9298,0.000396246,0.000396246,0.000396246
79,401.376,1.57543,0.80147,0.91184,0.61863,0.61583,0.53931,0.26261,2.06154,1.02803,0.92496,0.000379743,0.000379743,0.000379743
80,406.403,1.56484,0.79932,0.90535,0.64377,0.6115,0.54792,0.2637,2.05876,1.0251,0.92725,0.000363239,0.000363239,0.000363239
81,411.867,1.58829,0.80553,0.90394,0.59211,0.57724,0.51127,0.24654,2.07513,1.03647,0.92923,0.000346736,0.000346736,0.000346736
82,416.725,1.58843,0.79866,0.90386,0.60982,0.6125,0.51801,0.24996,2.0688,1.04106,0.92764,0.000330233,0.000330233,0.000330233
83,421.532,1.57595,0.79276,0.90682,0.60433,0.64312,0.54174,0.25651,2.03787,1.04243,0.92748,0.000313729,0.000313729,0.000313729
84,426.272,1.56445,0.79195,0.90046,0.62249,0.60301,0.56025,0.26865,2.0575,1.01464,0.92785,0.000297226,0.000297226,0.000297226
85,430.975,1.57682,0.79278,0.90114,0.64192,0.62376,0.55924,0.25792,2.05521,1.02285,0.93104,0.000280723,0.000280723,0.000280723
86,435.681,1.54542,0.77785,0.89912,0.60992,0.63422,0.55907,0.26685,2.04131,1.02117,0.92552,0.00026422,0.00026422,0.00026422
87,440.502,1.55424,0.7768,0.89672,0.6444,0.65372,0.56903,0.25475,2.05475,1.01588,0.92597,0.000247716,0.000247716,0.000247716
88,445.269,1.54407,0.76945,0.90085,0.61551,0.62434,0.53468,0.24818,2.05458,1.02798,0.92847,0.000231213,0.000231213,0.000231213
89,450.027,1.54108,0.77663,0.89972,0.63605,0.6432,0.54524,0.25583,2.06701,1.02684,0.92655,0.00021471,0.00021471,0.00021471
90,454.83,1.54145,0.77253,0.89718,0.60529,0.63818,0.53831,0.2515,2.03336,1.01575,0.92395,0.000198206,0.000198206,0.000198206
91,460.51,1.49394,0.75268,0.90648,0.64137,0.60383,0.55032,0.25663,2.03258,1.05515,0.92233,0.000181703,0.000181703,0.000181703
92,465.173,1.48121,0.73756,0.90412,0.63135,0.61541,0.55019,0.26189,2.02738,1.02153,0.92328,0.0001652,0.0001652,0.0001652
93,469.803,1.46867,0.72499,0.89779,0.65153,0.59202,0.54541,0.24527,2.04009,1.00792,0.92365,0.000148696,0.000148696,0.000148696
