epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.94662,2.32023,2.94427,1.12398,0.01096,0.39286,0.00735,0.00329,2.34671,3.67683,1.01371,0.000547247,0.000547247,0.000547247
2,8.65184,2.12926,1.82885,1.04401,0.97123,0.25,0.35383,0.21885,2.54589,1.85175,1.17336,0.001092,0.001092,0.001092
3,12.2073,2.11201,1.69602,1.03824,0.58503,0.42574,0.46117,0.1844,2.16161,1.37447,0.9987,0.00162574,0.00162574,0.00162574
4,15.6972,2.03931,1.48834,1.02286,0.64892,0.39286,0.46416,0.23168,2.10978,1.21946,0.97492,0.00161749,0.00161749,0.00161749
5,19.571,2.01387,1.37468,1.01194,0.6905,0.4478,0.60397,0.27206,2.1035,1.12423,0.9508,0.00160099,0.00160099,0.00160099
6,23.5486,1.95944,1.2926,1.00731,0.80995,0.41858,0.51405,0.24605,2.11805,1.16167,0.9599,0.00158448,0.00158448,0.00158448
7,27.0851,1.93685,1.247,1.00043,0.81464,0.41484,0.49472,0.27095,2.08625,1.20412,0.94319,0.00156798,0.00156798,0.00156798
8,30.646,1.90649,1.21189,0.99258,0.70343,0.7185,0.75547,0.2693,2.219,1.20798,0.95351,0.00155148,0.00155148,0.00155148
9,34.1974,1.8607,1.15771,0.98109,0.59392,0.40385,0.50841,0.30559,2.07009,1.17502,0.94696,0.00153497,0.00153497,0.00153497
10,37.7041,1.89343,1.14264,0.98105,0.69594,0.74725,0.70582,0.28163,1.97182,1.00999,0.93977,0.00151847,0.00151847,0.00151847
11,41.2255,1.83596,1.12107,0.98097,0.72315,0.44051,0.53353,0.23658,1.95189,0.99383,0.93529,0.00150197,0.00150197,0.00150197
12,44.7387,1.82237,1.08831,0.97105,0.58147,0.49725,0.54982,0.28805,1.93954,1.00649,0.92698,0.00148546,0.00148546,0.00148546
13,48.2414,1.81174,1.05273,0.97327,0.33912,0.76374,0.54541,0.28624,2.22291,1.14455,0.97412,0.00146896,0.00146896,0.00146896
14,51.7284,1.77123,1.02606,0.96722,0.62696,0.50275,0.55284,0.31834,2.01265,1.00053,0.9251,0.00145246,0.00145246,0.00145246
15,55.2501,1.81285,1.04003,0.96898,0.52364,0.46978,0.49742,0.26731,2.14398,0.98149,0.94663,0.00143595,0.00143595,0.00143595
16,58.7523,1.74787,1.01163,0.96495,0.87312,0.44901,0.55753,0.25942,2.13642,0.96419,0.95047,0.00141945,0.00141945,0.00141945
17,62.2591,1.76445,1.01289,0.96073,0.82827,0.79017,0.84105,0.42122,1.89516,0.88212,0.92391,0.00140295,0.00140295,0.00140295
18,65.7397,1.74817,1.00216,0.96406,0.94212,0.63164,0.78701,0.36807,1.88538,0.97612,0.91807,0.00138644,0.00138644,0.00138644
19,69.2491,1.73471,0.99505,0.95257,0.7144,0.47826,0.56405,0.27844,1.92127,0.95527,0.91254,0.00136994,0.00136994,0.00136994
20,72.7586,1.74217,0.97572,0.9559,0.65874,0.5057,0.64521,0.31146,2.0266,0.94767,0.9366,0.00135344,0.00135344,0.00135344
21,76.2698,1.71641,0.95506,0.9456,0.86385,0.70446,0.78814,0.44386,2.00946,0.97629,0.92327,0.00133693,0.00133693,0.00133693
22,79.7863,1.70907,0.94639,0.94806,0.96125,0.68793,0.8158,0.33048,1.93371,0.91933,0.91069,0.00132043,0.00132043,0.00132043
23,83.2933,1.69237,0.94144,0.94995,0.56417,0.48626,0.57042,0.31307,1.94279,0.94829,0.92317,0.00130393,0.00130393,0.00130393
24,86.8877,1.68508,0.9391,0.94054,0.76312,0.78581,0.74911,0.31428,1.94386,0.86862,0.92202,0.00128742,0.00128742,0.00128742
