                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1875,                 3.3889,                 1.3099,                0.00243,                0.27198,                0.00455,                0.00182,                 2.0044,                 3.4893,                 1.1242,             0.00054065,             0.00054065,             0.00054065
                      2,                 2.0456,                  2.615,                  1.239,                0.40475,                0.21452,                0.23184,                0.13849,                 1.9905,                  2.944,                 1.1791,              0.0010855,              0.0010855,              0.0010855
                      3,                 2.0716,                 2.3989,                 1.2503,                0.65538,                0.45471,                0.47457,                0.27001,                 2.0656,                 1.8252,                 1.1921,              0.0016193,              0.0016193,              0.0016193
                      4,                 1.9935,                 2.1622,                 1.2278,                 0.3208,                 0.6881,                0.28705,                0.12006,                  2.023,                 1.9266,                 1.1564,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.9701,                 1.9831,                 1.2158,                0.35182,                 0.5467,                0.40138,                0.18579,                 1.9422,                 1.4961,                 1.1015,               0.001601,               0.001601,               0.001601
                      6,                 1.9655,                  1.799,                 1.2119,                0.55796,                 0.4533,                0.52568,                0.23883,                 2.0403,                 1.4489,                 1.1543,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9274,                 1.6873,                 1.2015,                0.88142,                0.26374,                0.41519,                0.16693,                 1.9021,                 1.6543,                 1.0925,               0.001568,               0.001568,               0.001568
                      8,                 1.8802,                 1.6316,                 1.1962,                0.61265,                0.48626,                0.51013,                0.22447,                  1.906,                  1.326,                 1.1105,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.874,                 1.5688,                 1.1945,                0.81586,                0.51923,                0.58875,                0.31416,                 1.9078,                 1.1997,                 1.0902,               0.001535,               0.001535,               0.001535
                     10,                 1.8976,                 1.5071,                 1.1824,                0.54939,                0.42582,                0.51992,                0.27873,                 2.0821,                 1.5164,                 1.1252,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.8384,                 1.3925,                 1.1585,                0.72506,                0.47553,                0.55622,                0.27222,                  1.983,                 1.2723,                 1.1004,               0.001502,               0.001502,               0.001502
                     12,                 1.8009,                 1.3593,                 1.1532,                0.66349,                0.45879,                0.57446,                0.32257,                 1.8544,                 1.2071,                 1.0955,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.8181,                 1.3398,                 1.1578,                0.54994,                0.46997,                0.42272,                0.21511,                  2.022,                 1.2785,                 1.0965,               0.001469,               0.001469,               0.001469
                     14,                 1.9103,                  1.438,                 1.2056,                 0.6216,                0.43874,                0.43632,                0.19942,                 1.9237,                 1.2849,                 1.1201,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.815,                 1.3471,                 1.1473,                0.83979,                0.72956,                0.82323,                0.34716,                 1.9078,                  1.132,                 1.0963,               0.001436,               0.001436,               0.001436
                     16,                 1.7924,                 1.2478,                 1.1528,                0.82642,                0.39186,                0.62118,                0.31142,                 1.9045,                 1.1632,                 1.0967,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.7634,                 1.2438,                  1.142,                0.68538,                0.60165,                0.71951,                0.34782,                 1.9755,                 1.1041,                 1.0919,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.7633,                 1.2036,                 1.1255,                 0.7486,                0.50772,                0.60577,                0.32586,                 1.9394,                 1.1427,                 1.0707,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.8675,                 1.3045,                 1.1671,                0.32527,                0.50813,                0.43294,                0.17586,                 2.1798,                 1.4078,                 1.1381,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.8165,                 1.3022,                 1.1451,                0.19921,                0.32967,                0.47359,                0.18892,                 1.8903,                 1.1957,                 1.0773,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.8545,                 1.2765,                 1.1648,                0.37436,                0.54121,                 0.4311,                 0.2242,                 1.9295,                 1.1334,                 1.1011,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.8307,                 1.2506,                 1.1541,                 0.8473,                0.29745,                0.51917,                0.27415,                 1.8844,                 1.2891,                 1.0692,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.8446,                 1.2274,                 1.1607,                0.40587,                0.26374,                0.33834,                0.17043,                 1.7398,                 1.1482,                 1.0404,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.7549,                 1.1732,                 1.1381,                0.79458,                0.53571,                 0.7647,                0.42379,                 1.7504,                 1.0771,                 1.0497,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.707,                 1.1113,                 1.1062,                0.40172,                0.27473,                 0.3934,                0.20069,                  1.762,                 1.0884,                 1.0434,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.6918,                 1.0863,                 1.1063,                0.73799,                0.44021,                0.62729,                0.35762,                 1.7823,                  1.146,                 1.0303,              0.0012544,              0.0012544,              0.0012544
                     27,                  1.698,                 1.0845,                 1.1182,                0.47272,                0.59615,                0.57499,                0.31426,                 1.9401,                 1.3031,                 1.0758,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.7189,                 1.0926,                 1.1094,                0.66078,                 0.4916,                0.60655,                0.33091,                 1.8197,                 1.0996,                 1.0502,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.7479,                 1.0551,                 1.1314,                0.55589,                0.43132,                0.45706,                0.23346,                 2.0729,                 1.1838,                 1.1671,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.7536,                 1.1116,                 1.1293,                0.66143,                0.47527,                0.59268,                0.26765,                 2.0688,                   1.24,                 1.1433,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.7517,                 1.1601,                 1.1549,                0.54382,                0.78943,                0.69972,                0.35173,                 1.7921,                  1.092,                 1.0654,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.7144,                 1.0998,                 1.1157,                 0.7376,                0.44117,                0.57948,                0.32714,                 1.9204,                 1.1492,                  1.081,              0.0011554,              0.0011554,              0.0011554
                     33,                  1.646,                 1.0582,                 1.0857,                0.59941,                0.47015,                0.43624,                0.24648,                 1.8621,                 1.1858,                 1.0823,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.6357,                0.98841,                 1.0812,                0.94264,                0.75824,                0.87064,                0.41413,                 1.8952,                 1.0882,                 1.0753,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.6471,                 1.0013,                 1.0983,                0.72883,                0.58516,                0.70351,                0.35551,                 1.8589,                 1.0475,                 1.0557,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.7075,                 1.0318,                 1.1102,                0.35018,                 0.5746,                 0.5331,                0.25709,                 1.9596,                 1.1772,                 1.1069,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.7336,                  1.048,                 1.1236,                0.62004,                0.47537,                0.57152,                 0.3512,                 1.8698,                 1.0892,                 1.0651,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.6419,                 1.0047,                 1.0832,                0.69374,                0.82967,                0.77665,                0.49691,                 1.6705,                 0.9741,                 1.0111,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.6027,                0.94713,                 1.0891,                0.62835,                0.82967,                0.73979,                0.44951,                 1.7639,                0.97289,                 1.0422,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.5641,                0.91864,                 1.0666,                0.80711,                0.49486,                0.71632,                0.37853,                 1.8988,                 1.0387,                 1.0675,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.5983,                0.92967,                 1.0703,                0.92726,                0.52783,                0.76749,                0.41983,                 1.9046,                 1.0332,                 1.0842,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.6181,                0.96515,                 1.0738,                0.51648,                0.57224,                 0.6824,                 0.4077,                 1.7674,                 1.0494,                 1.0333,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.5973,                 0.9528,                 1.0574,                0.94799,                0.47393,                0.62519,                0.36387,                   1.82,                 1.0836,                 1.0321,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.6369,                0.95614,                 1.0646,                0.82768,                0.50275,                0.62661,                0.39015,                 1.6915,                 1.0266,                 1.0139,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.5967,                0.90815,                 1.0595,                0.81962,                0.53901,                0.73458,                0.43392,                 1.7814,                 1.1389,                 1.0313,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.595,                0.90946,                 1.0534,                0.95603,                0.72527,                0.84956,                0.51911,                 1.7625,                 1.0509,                 1.0377,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.5775,                0.92642,                 1.0529,                0.81154,                0.54121,                0.64881,                0.35837,                 1.9636,                 1.0528,                 1.1059,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.5977,                0.91436,                 1.0719,                0.45306,                  0.767,                0.67166,                0.37441,                 1.8289,                 1.0243,                 1.0896,             0.00089134,             0.00089134,             0.00089134
