epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9249,1.80131,5.16013,1.30807,0.00709,0.26648,0.13587,0.08117,1.89478,3.96037,1.25947,0.000547247,0.000547247,0.000547247
2,23.9248,1.75158,3.87435,1.2768,0.9249,0.09326,0.39342,0.19365,1.99872,3.11342,1.35726,0.001092,0.001092,0.001092
3,34.5066,1.76623,3.12758,1.29047,0.25315,0.15385,0.15599,0.07902,2.03214,2.54504,1.37157,0.00162574,0.00162574,0.00162574
4,45.2096,1.71822,2.56175,1.27579,0.37864,0.13187,0.16581,0.091,1.94749,2.29187,1.33091,0.00161749,0.00161749,0.00161749
5,56.0031,1.68283,2.21176,1.26686,0.35505,0.53022,0.32011,0.16622,1.80368,1.77345,1.2476,0.00160099,0.00160099,0.00160099
6,66.5522,1.68063,1.89782,1.24975,0.78633,0.39286,0.48342,0.28134,2.03738,1.92838,1.33906,0.00158448,0.00158448,0.00158448
7,77.3257,1.71617,1.7638,1.26332,0.32716,0.42033,0.3133,0.15168,1.95269,2.17986,1.27122,0.00156798,0.00156798,0.00156798
8,88.2867,1.68612,1.67519,1.24202,0.56611,0.5522,0.43804,0.2091,1.75012,1.50394,1.17932,0.00155148,0.00155148,0.00155148
9,99.2776,1.68017,1.55957,1.25538,0.65131,0.65934,0.59318,0.28584,1.91493,1.62006,1.21935,0.00153497,0.00153497,0.00153497
10,109.896,1.63569,1.42381,1.23085,0.42978,0.46299,0.34629,0.16029,1.89098,1.73037,1.26681,0.00151847,0.00151847,0.00151847
11,120.502,1.61328,1.40889,1.20776,0.4387,0.48187,0.41611,0.2196,1.86618,1.82053,1.22353,0.00150197,0.00150197,0.00150197
12,131.016,1.5949,1.32028,1.20277,0.80745,0.70174,0.76501,0.28457,1.90388,1.65769,1.27327,0.00148546,0.00148546,0.00148546
13,141.598,1.58312,1.24682,1.1958,0.91757,0.72596,0.82625,0.44273,1.84279,1.29164,1.21431,0.00146896,0.00146896,0.00146896
14,152.11,1.5807,1.22004,1.18251,0.41967,0.56319,0.43419,0.19054,1.80396,1.29321,1.20367,0.00145246,0.00145246,0.00145246
15,162.646,1.58793,1.23591,1.19411,0.62376,0.50275,0.49347,0.20081,1.84529,1.25624,1.19386,0.00143595,0.00143595,0.00143595
16,173.147,1.54301,1.16114,1.18229,0.63287,0.46559,0.66483,0.38594,1.62317,1.2326,1.15402,0.00141945,0.00141945,0.00141945
17,183.683,1.52414,1.12195,1.17058,0.50618,0.59291,0.60023,0.32422,1.52135,1.11774,1.10548,0.00140295,0.00140295,0.00140295
18,194.192,1.52161,1.0693,1.16877,0.56734,0.85714,0.71619,0.33473,1.65047,1.12223,1.15156,0.00138644,0.00138644,0.00138644
19,204.69,1.52289,1.06344,1.17055,0.74954,0.45879,0.69653,0.29668,1.71746,1.26047,1.15715,0.00136994,0.00136994,0.00136994
