                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3821,                 2.8655,                 1.2665,                0.00678,                0.99187,                0.28395,                0.15793,                  1.023,                 2.7074,                 1.0821,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.4047,                 2.8885,                 1.2916,                0.00678,                0.99187,                0.28334,                0.15735,                 1.0317,                 2.7093,                 1.0875,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.4247,                 2.9103,                 1.2962,                0.00678,                0.99187,                  0.284,                0.15629,                 1.0392,                 2.7118,                 1.0925,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.3863,                  2.879,                 1.2862,                0.00681,                0.99729,                0.57243,                0.35092,                0.93573,                  2.697,                 1.0265,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.2233,                 2.4108,                 1.1626,                0.00683,                      1,                0.66975,                0.40275,                 1.0651,                 2.6227,                 1.0737,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.2331,                  1.932,                 1.1378,                0.56145,                0.80488,                0.72445,                0.47537,                0.95804,                 2.4547,                 1.0404,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.2147,                 1.6037,                 1.1222,                0.92117,                0.44335,                0.84194,                0.52934,                 1.1081,                 2.2561,                 1.1827,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.1702,                 1.5555,                 1.1359,                0.91493,                0.20403,                 0.6644,                0.36441,                  1.412,                 2.5046,                 1.3361,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.1489,                 1.4365,                 1.1025,                 0.7817,                0.04853,                0.39619,                0.18373,                 2.0592,                 2.9737,                 1.8298,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.1165,                 1.3744,                 1.0897,                0.91425,                0.14448,                0.45602,                0.24175,                 2.0099,                 3.0378,                 1.7994,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.1161,                  1.315,                 1.0829,                0.98384,                0.16496,                 0.4585,                 0.2657,                 1.8938,                 3.0802,                 1.7127,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.1286,                 1.3115,                  1.089,                      1,                0.08454,                0.36468,                0.22299,                 2.0223,                 3.1934,                 1.8303,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.1048,                 1.2538,                 1.0782,                      1,                0.00792,                0.20944,                0.13279,                 2.5265,                 3.4323,                 2.2342,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.0956,                 1.2277,                 1.0681,                      1,                0.04119,                0.36587,                0.22124,                  2.023,                 3.1801,                 1.8455,              0.0004705,              0.0004705,              0.0004705
                     15,                  1.067,                 1.1972,                  1.071,                      1,                 0.0674,                0.46408,                0.28724,                 1.7669,                 3.0097,                  1.645,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.0452,                 1.1872,                 1.0744,                      1,                0.06694,                0.39621,                0.23653,                 1.9705,                 3.1691,                  1.823,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.0655,                 1.1369,                 1.0611,                0.00381,                0.55827,                0.21494,                0.11673,                 2.5152,                 3.4777,                  2.292,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.0142,                 1.1149,                  1.045,                0.00233,                0.34146,                0.07884,                0.03045,                 3.1668,                 3.8214,                 2.9035,             0.00058219,             0.00058219,             0.00058219
                     19,                 1.0639,                 1.1202,                 1.0592,                0.00411,                0.26558,                0.17408,                0.10245,                  2.506,                 3.5567,                 2.4101,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.0518,                  1.111,                 1.0576,                0.00419,                0.61247,                0.14789,                0.06874,                 2.5089,                  3.573,                 2.3988,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.0541,                  1.093,                 1.0636,                      1,                0.07777,                0.46874,                0.27674,                 1.6744,                 2.9803,                 1.7074,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.0365,                 1.0585,                 1.0546,                      1,                 0.2364,                0.63634,                0.35714,                 1.4715,                 2.6766,                 1.4784,             0.00068121,             0.00068121,             0.00068121
                     23,                 1.0244,                 1.0635,                 1.0563,                0.98041,                0.13562,                0.59322,                0.34926,                 1.5912,                 2.8033,                 1.5552,             0.00070398,             0.00070398,             0.00070398
                     24,                 1.0269,                 1.0377,                 1.0488,                      1,                0.07581,                 0.5217,                0.29859,                 1.7549,                 2.9262,                 1.6731,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.0386,                 1.0473,                 1.0502,                0.97671,                0.34094,                0.63627,                 0.3696,                 1.5429,                 2.5163,                  1.523,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.0264,                 1.0203,                 1.0582,                0.91192,                0.36476,                 0.5951,                 0.3315,                 1.5996,                 2.4674,                  1.541,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.0357,                0.99499,                 1.0439,                0.94588,                0.18945,                 0.5223,                0.28365,                   1.76,                 2.7177,                 1.7089,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.0495,                 1.0035,                 1.0427,                0.97712,                0.11577,                0.45201,                0.25295,                 1.7633,                 2.8739,                 1.7238,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.0311,                0.99543,                 1.0427,                0.96553,                0.09485,                0.48074,                0.26597,                  1.833,                 2.8773,                  1.739,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.0378,                0.98635,                 1.0618,                0.98411,                0.16785,                0.56689,                0.32574,                 1.7034,                 2.7286,                 1.6076,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.0497,                 0.9835,                 1.0541,                0.96991,                0.08737,                0.39885,                0.21012,                 2.0211,                 2.9779,                 1.8404,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.0172,                0.96782,                 1.0445,                0.92846,                0.08672,                0.34175,                 0.1681,                 2.0381,                 3.0302,                 1.8354,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.0155,                 0.9618,                 1.0482,                0.94138,                0.21759,                0.59675,                0.32729,                 1.5753,                 2.6974,                 1.4931,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.0015,                0.94024,                 1.0483,                 0.9097,                0.27302,                0.65544,                 0.3691,                 1.5497,                  2.543,                 1.4103,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.0197,                0.93712,                 1.0405,                0.88265,                0.33062,                0.61567,                0.34493,                 1.6343,                 2.4631,                 1.4846,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.0174,                0.91662,                 1.0497,                0.82452,                 0.6477,                0.76765,                0.44204,                 1.4259,                 1.8739,                 1.3117,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.0157,                0.92273,                 1.0374,                0.82627,                0.55556,                0.70728,                0.37825,                  1.559,                 2.0264,                 1.4193,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.0511,                0.93431,                 1.0574,                0.91059,                0.38642,                0.67626,                0.37359,                  1.549,                 2.2524,                  1.406,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.0229,                0.92162,                 1.0485,                0.88912,                0.43463,                0.71214,                0.40205,                 1.4743,                 2.1375,                 1.3757,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.0082,                0.89895,                 1.0469,                0.87413,                0.43285,                0.70259,                0.38264,                 1.4821,                 2.0757,                 1.3623,             0.00096996,             0.00096996,             0.00096996
                     41,                0.99989,                 0.8928,                 1.0395,                0.79429,                 0.4607,                0.62682,                0.37029,                 1.3392,                 2.1114,                 1.3197,             0.00097848,             0.00097848,             0.00097848
                     42,                0.98824,                0.90017,                  1.029,                0.74843,                 0.4607,                0.55498,                0.27946,                 1.4962,                 2.2304,                 1.4543,             0.00098621,             0.00098621,             0.00098621
                     43,                0.98576,                0.86791,                 1.0313,                0.79696,                0.53117,                0.62337,                0.34957,                 1.4378,                 1.9865,                 1.3969,             0.00099314,             0.00099314,             0.00099314
                     44,                0.98384,                0.86706,                 1.0415,                0.81306,                0.58808,                0.67349,                0.39371,                 1.3501,                 1.7493,                 1.3138,             0.00099928,             0.00099928,             0.00099928
                     45,                0.96099,                0.82495,                 1.0286,                0.82691,                0.67325,                0.78575,                0.49602,                 1.2549,                 1.5227,                 1.2076,              0.0010046,              0.0010046,              0.0010046
                     46,                0.97153,                0.85382,                 1.0396,                0.85801,                0.69919,                0.82185,                0.53179,                 1.2508,                 1.4222,                 1.2012,              0.0010092,              0.0010092,              0.0010092
                     47,                0.96039,                0.83364,                 1.0142,                0.82042,                0.69377,                0.81714,                0.51357,                 1.2473,                 1.3693,                 1.2055,               0.001013,               0.001013,               0.001013
                     48,                0.97543,                0.82488,                 1.0336,                0.80756,                0.67095,                0.79738,                0.50321,                 1.2418,                 1.4304,                 1.2192,              0.0010159,              0.0010159,              0.0010159
                     49,                0.95117,                0.83163,                 1.0265,                0.79479,                0.71545,                0.80072,                0.50042,                 1.2745,                 1.2845,                 1.2182,              0.0010181,              0.0010181,              0.0010181
                     50,                0.95407,                0.80293,                  1.021,                0.75671,                0.76152,                0.82361,                0.49822,                 1.2715,                 1.1501,                 1.2228,              0.0010195,              0.0010195,              0.0010195
                     51,                0.97181,                0.84966,                 1.0392,                0.80965,                0.65703,                0.77185,                 0.4539,                 1.3192,                 1.3179,                 1.2685,                0.00101,                0.00101,                0.00101
                     52,                0.95099,                 0.7978,                 1.0193,                0.79963,                0.63809,                0.73271,                 0.4146,                 1.4351,                 1.5527,                 1.3309,              0.0009902,              0.0009902,              0.0009902
                     53,                0.94368,                0.82279,                 1.0242,                0.77538,                0.65583,                0.73482,                0.38163,                  1.572,                 1.5242,                 1.4016,              0.0009704,              0.0009704,              0.0009704
                     54,                0.94336,                0.78309,                 1.0153,                0.81533,                0.71792,                0.79539,                0.46208,                 1.3995,                 1.2732,                 1.2688,              0.0009506,              0.0009506,              0.0009506
                     55,                0.96445,                0.80351,                  1.025,                0.83134,                0.75881,                   0.79,                0.44609,                 1.4899,                 1.3021,                 1.3469,              0.0009308,              0.0009308,              0.0009308
                     56,                0.91348,                0.77961,                0.99892,                0.82022,                0.64228,                0.74849,                0.41609,                 1.4815,                 1.4147,                 1.3959,               0.000911,               0.000911,               0.000911
                     57,                0.94251,                0.78009,                 1.0226,                0.83916,                0.61518,                0.71226,                0.38755,                 1.4944,                  1.474,                 1.4226,              0.0008912,              0.0008912,              0.0008912
                     58,                0.91249,                0.76008,                 1.0061,                0.76305,                0.61964,                0.69117,                0.38313,                 1.4894,                  1.499,                 1.4246,              0.0008714,              0.0008714,              0.0008714
                     59,                0.92594,                0.76566,                 1.0209,                0.83198,                0.60387,                 0.7022,                0.41025,                 1.3848,                 1.5934,                 1.3101,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.9054,                0.73498,                 1.0032,                0.85515,                0.76152,                0.83118,                0.53567,                 1.2281,                 1.1257,                 1.2158,              0.0008318,              0.0008318,              0.0008318
                     61,                0.92154,                0.74768,                 1.0039,                0.87132,                0.77507,                0.85229,                0.53729,                 1.2377,                 1.0129,                 1.2167,               0.000812,               0.000812,               0.000812
                     62,                0.92579,                0.74975,                 1.0014,                0.83368,                0.78785,                0.85347,                0.53525,                 1.2306,                 1.0572,                 1.2137,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.9169,                0.74252,                 1.0124,                0.88776,                0.72876,                0.84031,                0.53114,                 1.2163,                 1.1526,                 1.2169,              0.0007724,              0.0007724,              0.0007724
                     64,                0.88678,                0.71952,                 1.0065,                0.87782,                 0.8178,                0.90066,                 0.5847,                 1.1596,                0.90129,                 1.1391,              0.0007526,              0.0007526,              0.0007526
                     65,                0.91243,                0.74747,                   1.01,                 0.8859,                0.79959,                0.90004,                0.58708,                 1.1303,                0.90177,                 1.1098,              0.0007328,              0.0007328,              0.0007328
                     66,                0.92031,                0.74535,                 1.0142,                0.86162,                 0.7593,                0.84118,                0.53357,                 1.2257,                 1.1942,                 1.1792,               0.000713,               0.000713,               0.000713
                     67,                0.88694,                0.71169,                 1.0019,                0.84283,                 0.8429,                 0.8795,                0.57046,                 1.1665,                 1.0075,                 1.1798,              0.0006932,              0.0006932,              0.0006932
                     68,                0.88433,                0.72428,                 1.0031,                0.86684,                0.87534,                0.88285,                0.58153,                 1.1218,                 0.8837,                 1.1461,              0.0006734,              0.0006734,              0.0006734
                     69,                0.89584,                0.69561,                 1.0054,                0.85157,                0.83961,                0.86221,                0.55661,                 1.1689,                 0.9904,                   1.17,              0.0006536,              0.0006536,              0.0006536
                     70,                0.89682,                 0.6986,                 1.0074,                0.86381,                0.82504,                0.87279,                0.57798,                 1.1239,                0.98576,                 1.1457,              0.0006338,              0.0006338,              0.0006338
