                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7862,                 5.0267,                 2.0707,                0.01132,                0.99187,                0.66249,                0.30706,                 1.5046,                 3.0733,                 1.9599,             0.00054178,             0.00054178,             0.00054178
                      2,                 1.6192,                   3.94,                 1.7727,                 0.6343,                0.52846,                0.60229,                0.27393,                 1.7807,                 2.6201,                 2.3313,              0.0010866,              0.0010866,              0.0010866
                      3,                 1.6407,                 3.3382,                 1.7988,                0.61941,                 0.6748,                0.66882,                 0.3208,                 1.7082,                 2.0625,                 2.1676,              0.0016204,              0.0016204,              0.0016204
                      4,                 1.6643,                 2.9448,                 1.8108,                0.53433,                0.57453,                0.50211,                0.24833,                 1.6355,                 4.8935,                 2.0205,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.626,                 2.5057,                 1.7693,                0.65809,                0.71545,                0.71163,                 0.3674,                 1.5775,                 2.3877,                 1.8341,               0.001601,               0.001601,               0.001601
                      6,                 1.6169,                 2.1875,                 1.7557,                  0.649,                0.66125,                0.69056,                0.36913,                 1.6007,                 1.6152,                 1.9334,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5853,                 1.9576,                 1.7453,                0.70482,                0.64499,                0.70169,                0.38482,                 1.6276,                 1.4317,                 1.8418,               0.001568,               0.001568,               0.001568
                      8,                 1.5062,                 1.7058,                 1.6603,                0.69338,                0.74766,                0.78532,                0.44018,                 1.5284,                 1.2839,                 1.8374,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5244,                  1.585,                 1.6489,                0.69329,                0.74733,                0.77706,                0.42859,                 1.4962,                 1.3208,                 1.7865,               0.001535,               0.001535,               0.001535
                     10,                 1.5226,                 1.5014,                 1.6534,                0.65184,                0.71003,                0.73021,                 0.4149,                 1.5332,                 1.6472,                 1.7971,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4877,                 1.4419,                 1.6152,                 0.7416,                0.74665,                0.78245,                0.44401,                  1.509,                 1.3355,                 1.8013,               0.001502,               0.001502,               0.001502
                     12,                  1.529,                 1.3739,                 1.6625,                0.74746,                0.76201,                0.82997,                 0.4779,                 1.4401,                 1.0921,                 1.6336,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4476,                 1.2883,                 1.6063,                0.76719,                0.74526,                0.79943,                0.46779,                 1.4534,                 1.1825,                 1.6979,               0.001469,               0.001469,               0.001469
                     14,                  1.442,                 1.2453,                 1.6329,                0.79937,                0.77741,                0.85868,                0.50519,                 1.3918,                 1.0184,                 1.6345,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4265,                 1.2007,                 1.5619,                0.74495,                0.81572,                0.84226,                0.50462,                 1.3932,                 1.1322,                 1.6626,               0.001436,               0.001436,               0.001436
                     16,                 1.3991,                 1.1219,                 1.5443,                0.79175,                0.82114,                0.87273,                0.51616,                 1.4324,                 1.0062,                  1.604,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3919,                  1.126,                 1.5371,                0.83204,                 0.7832,                0.85919,                0.51894,                  1.383,                 1.0442,                 1.5959,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4177,                 1.1052,                 1.5415,                0.72319,                0.84282,                0.84612,                0.48978,                 1.4123,                 1.4385,                 1.6433,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4224,                 1.1073,                 1.5406,                0.75303,                0.82385,                0.84764,                0.52691,                  1.329,                0.98895,                 1.5542,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3348,                 1.0091,                 1.4741,                0.79835,                0.82614,                0.87187,                 0.5426,                 1.3305,                0.91054,                 1.5131,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.3513,                 0.9814,                 1.4728,                0.81619,                0.84011,                0.88606,                0.53706,                 1.3338,                0.92906,                 1.5412,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3067,                0.97485,                 1.4506,                0.79595,                0.86684,                 0.8993,                0.56221,                 1.2948,                0.86917,                 1.5625,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2977,                0.94292,                  1.432,                0.82662,                0.82693,                 0.8907,                0.56015,                 1.2995,                0.87668,                 1.5144,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2858,                0.91655,                 1.4248,                0.82125,                0.87534,                0.90338,                0.56533,                 1.3093,                0.84162,                 1.5421,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2913,                 0.9197,                 1.4279,                0.82823,                0.85908,                0.89303,                 0.5763,                 1.2659,                0.83937,                 1.4823,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2718,                 0.9167,                 1.3912,                0.79077,                0.87058,                0.88461,                0.55808,                 1.2633,                0.88721,                 1.4802,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2334,                0.88244,                 1.3404,                0.80931,                0.84011,                0.88235,                0.53684,                 1.3477,                0.87388,                 1.5475,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2925,                0.91147,                 1.4165,                0.78066,                0.83469,                0.86721,                0.52061,                 1.3852,                0.89391,                 1.5454,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2443,                0.87918,                 1.3849,                0.80541,                0.85637,                0.88387,                0.55345,                  1.304,                0.85459,                 1.5309,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.2163,                0.84589,                 1.3421,                0.75767,                0.87276,                0.86831,                0.55391,                 1.2468,                0.86674,                 1.4491,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2195,                0.84366,                 1.3579,                0.79477,                0.84011,                0.88169,                0.57484,                 1.2434,                 0.8574,                  1.441,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1663,                0.83962,                 1.3324,                0.83125,                0.82768,                0.89717,                0.56386,                 1.2754,                0.84379,                 1.4736,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1863,                0.80826,                 1.3271,                0.80829,                0.82266,                0.88817,                0.57794,                 1.2434,                0.83397,                 1.4204,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1687,                0.80011,                 1.3338,                0.82731,                0.85908,                0.90648,                0.58899,                 1.2282,                0.80251,                 1.4382,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2017,                0.77432,                 1.3344,                0.80182,                 0.8881,                 0.8969,                0.56788,                 1.2847,                0.82868,                 1.5216,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1678,                0.76522,                 1.3003,                0.78435,                0.89698,                0.90932,                0.59834,                 1.2261,                0.82732,                 1.4357,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1691,                0.79919,                 1.3311,                0.82489,                 0.8374,                0.90192,                0.57111,                 1.2711,                0.81879,                 1.4615,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1467,                0.73903,                 1.2809,                 0.7985,                0.88076,                0.89717,                0.56838,                 1.2969,                0.77532,                 1.4394,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1156,                0.72006,                 1.2527,                0.79725,                 0.9058,                0.89676,                0.58113,                 1.2156,                0.77266,                  1.393,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1202,                0.73311,                 1.2686,                0.84063,                0.86179,                0.90106,                0.59295,                 1.2241,                0.79797,                   1.44,              0.0010234,              0.0010234,              0.0010234
