epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67577,2.14669,2.42582,1.33361,0.85419,0.24642,0.4954,0.15879,1.789,2.41654,1.23486,0.000653061,0.000653061,0.000653061
2,7.45007,1.9308,1.63341,1.27405,0.3813,0.69637,0.33598,0.14957,1.75447,2.10681,1.23564,0.00131102,0.00131102,0.00131102
3,10.1242,1.94606,1.6812,1.24666,0.65019,0.54235,0.60744,0.26395,1.75476,1.56377,1.24187,0.00196017,0.00196017,0.00196017
4,12.7803,1.88772,1.66377,1.25038,0.79072,0.64686,0.75292,0.39128,1.59127,1.411,1.17091,0.0019604,0.0019604,0.0019604
5,15.3687,1.84064,1.49623,1.21935,0.80139,0.65254,0.75413,0.41614,1.57238,1.35545,1.15132,0.0019472,0.0019472,0.0019472
6,18.0282,1.73244,1.38029,1.16733,0.85219,0.71617,0.81867,0.45446,1.54124,1.04424,1.11257,0.001934,0.001934,0.001934
7,20.5608,1.76996,1.37662,1.18986,0.85889,0.75578,0.83608,0.45278,1.59813,1.05526,1.14215,0.0019208,0.0019208,0.0019208
8,23.157,1.79943,1.27307,1.18984,0.83641,0.73267,0.81989,0.44527,1.58844,1.00081,1.11936,0.0019076,0.0019076,0.0019076
9,25.6741,1.69983,1.18416,1.15247,0.84675,0.76589,0.85595,0.48403,1.55311,0.98285,1.11384,0.0018944,0.0018944,0.0018944
10,28.1734,1.66905,1.14329,1.15037,0.86142,0.79322,0.86175,0.47781,1.54932,1.07182,1.12628,0.0018812,0.0018812,0.0018812
11,30.7452,1.66931,1.10635,1.12861,0.89434,0.72827,0.83557,0.476,1.48715,0.97171,1.10609,0.001868,0.001868,0.001868
