                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.516,                 4.1973,                 4.0967,                0.00092,                  0.176,                 0.0015,                0.00035,                 5.1882,                  4.207,                 4.0577,                0.00054,                0.00054,                0.00054
                      2,                 3.1218,                 3.0159,                 3.1029,                0.00089,                   0.16,                0.00144,                 0.0004,                 5.2588,                  3.655,                 4.1871,              0.0010891,              0.0010891,              0.0010891
                      3,                  2.473,                 2.3613,                 2.7357,                0.00252,                  0.152,                0.00179,                 0.0005,                 5.2386,                 4.3223,                 4.1872,              0.0016271,              0.0016271,              0.0016271
                      4,                  2.249,                 2.0674,                 2.5229,                0.19272,                  0.232,                0.07485,                0.01882,                 3.0161,                 3.3396,                      3,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0581,                  1.854,                 2.3559,                0.05043,                  0.288,                0.03384,                 0.0093,                 2.4942,                 3.4167,                 2.3611,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9005,                  1.617,                 2.2276,                0.59378,                0.44438,                0.50605,                0.15792,                 2.2756,                 2.0185,                 2.3707,               0.001901,               0.001901,               0.001901
                      7,                 1.7731,                 1.4778,                 2.1097,                0.78372,                0.78272,                0.81803,                0.33446,                 2.0453,                 1.7461,                 2.1697,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7213,                 1.3298,                 2.0613,                0.59906,                0.78892,                0.75347,                0.37104,                 1.8233,                 1.6502,                 2.0563,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6098,                 1.2218,                 1.9464,                0.71822,                0.83605,                0.84283,                0.44553,                 1.6439,                 1.3783,                 1.9031,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4884,                 1.1146,                 1.8616,                0.73458,                  0.832,                0.82104,                0.44653,                 1.5669,                 1.2508,                 1.8513,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4554,                 1.0763,                  1.816,                0.88309,                  0.816,                0.88015,                0.44215,                 1.6189,                 1.2613,                  1.865,               0.001802,               0.001802,               0.001802
                     12,                 1.3399,                0.97697,                 1.7305,                0.66278,                0.88053,                0.83102,                0.46039,                 1.5169,                 1.2676,                 1.6579,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3149,                0.94788,                 1.6949,                0.88505,                0.92392,                0.91565,                0.54738,                 1.4019,                 1.3297,                 1.5657,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2892,                0.90792,                 1.6728,                0.89611,                0.96603,                0.94802,                0.55823,                 1.4016,                 1.1583,                 1.6115,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.235,                0.85619,                 1.6064,                0.87824,                0.92325,                0.94728,                0.61798,                 1.2657,                 1.0589,                 1.5171,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1985,                0.84431,                 1.5774,                0.89793,                   0.88,                0.94492,                0.65144,                 1.1365,                 1.1307,                 1.3659,               0.001703,               0.001703,               0.001703
                     17,                 1.1608,                0.82592,                 1.5695,                0.93025,                0.96031,                0.96226,                0.67836,                 1.0742,                0.76924,                 1.4147,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1264,                0.79398,                 1.5357,                0.92895,                  0.856,                0.93921,                0.55653,                 1.4103,                0.89416,                 1.4768,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1091,                0.74547,                 1.5313,                0.91482,                  0.968,                0.97241,                0.66332,                 1.1597,                0.75778,                 1.5466,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1239,                 0.7638,                 1.5309,                0.93654,                0.94456,                0.97188,                0.68234,                 1.1302,                0.80465,                 1.3997,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0902,                0.74166,                  1.472,                 0.9654,                 0.8929,                0.96651,                0.68915,                 1.1104,                0.71654,                 1.2813,               0.001604,               0.001604,               0.001604
                     22,                 1.0293,                0.70843,                 1.4289,                0.92744,                   0.92,                0.96335,                0.71839,                 1.0157,                0.77309,                 1.2778,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0237,                0.69655,                 1.4172,                 0.9573,                  0.984,                0.98531,                0.75641,                0.94398,                0.65887,                 1.1637,              0.0015644,              0.0015644,              0.0015644
