                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8066,                  3.691,                 1.6914,                0.50781,                0.71922,                0.58411,                0.21986,                 2.1168,                 3.6462,                 2.0729,              0.0006629,              0.0006629,              0.0006629
                      2,                 1.8804,                 2.2098,                 1.7089,                0.36267,                0.57576,                0.34344,                0.13274,                 2.4363,                 2.2649,                 2.2683,              0.0013164,              0.0013164,              0.0013164
                      3,                 1.9344,                 1.7296,                 1.7651,                0.06963,                0.48485,                0.05012,                0.01642,                 2.7273,                 5.1022,                 2.7019,              0.0019567,              0.0019567,              0.0019567
                      4,                 1.9692,                  1.559,                 1.7669,                0.39398,                0.39394,                 0.2892,                0.09373,                 2.8035,                 2.1501,                 2.3853,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9845,                 1.5033,                  1.816,                0.46921,                0.56272,                0.51433,                0.17134,                 2.3393,                 1.5602,                 1.9262,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8659,                 1.2842,                 1.6818,                0.25984,                0.57576,                0.37163,                0.14688,                 2.1591,                 2.1259,                 1.7124,               0.001901,               0.001901,               0.001901
                      7,                 1.8327,                 1.2261,                 1.6442,                0.17227,                0.39394,                 0.1406,                0.05098,                 2.2895,                 2.4753,                 2.0031,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.8027,                 1.1939,                 1.5946,                0.73913,                0.81818,                 0.8509,                 0.3718,                 1.8342,                 1.2427,                 1.5011,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7901,                 1.1724,                 1.5808,                0.66108,                0.81818,                 0.8017,                0.38001,                  1.846,                 1.2279,                 1.4906,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.706,                 1.0526,                 1.5032,                0.51968,                0.72727,                0.49364,                0.20834,                 1.9836,                 1.6395,                 1.5949,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6513,                 1.0187,                 1.4501,                0.78366,                0.78788,                0.89989,                0.42742,                 1.6417,                 1.0991,                 1.2968,               0.001802,               0.001802,               0.001802
                     12,                 1.6237,                 0.9736,                 1.4004,                0.79749,                0.83556,                0.87401,                0.46313,                 1.7767,                 1.0454,                 1.3644,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5935,                0.93101,                 1.3732,                0.73863,                0.77093,                0.86613,                0.45127,                 1.6503,                 1.1048,                 1.2138,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5106,                0.90287,                 1.3183,                0.81758,                0.90909,                0.85478,                 0.4207,                 1.6562,                 1.1717,                 1.3065,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5029,                0.88303,                 1.2996,                0.86698,                0.90909,                0.93467,                0.47681,                 1.6342,                 1.0748,                 1.2678,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4892,                0.84955,                 1.2639,                0.74753,                0.90909,                0.87121,                0.45507,                  1.606,                 1.0365,                 1.2531,               0.001703,               0.001703,               0.001703
                     17,                 1.4697,                0.86238,                 1.2529,                0.85322,                0.88077,                 0.8966,                0.45036,                 1.5964,                 1.1084,                 1.1635,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3953,                 0.8379,                 1.2185,                0.79777,                 0.9697,                0.87522,                0.48614,                 1.5698,                0.94526,                 1.1602,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.4008,                0.82498,                 1.1892,                0.83534,                 0.9697,                0.90866,                0.51728,                 1.5034,                 1.0443,                  1.179,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3454,                 0.8129,                 1.1903,                0.82964,                0.93939,                0.96491,                0.59842,                 1.4455,                0.91295,                 1.1112,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3242,                0.78124,                 1.1842,                 0.8873,                0.95451,                0.96995,                0.57189,                 1.4209,                0.93248,                 1.2284,               0.001604,               0.001604,               0.001604
                     22,                 1.2691,                0.73888,                 1.1451,                0.88773,                0.93939,                0.96863,                0.59349,                 1.3551,                0.88981,                  1.139,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2799,                0.74968,                 1.1271,                0.85895,                0.92291,                 0.9628,                  0.566,                 1.3525,                0.84991,                 1.0657,              0.0015644,              0.0015644,              0.0015644
                     24,                   1.19,                 0.7088,                 1.0984,                      1,                0.97753,                  0.995,                0.66183,                 1.3002,                0.77275,                 1.0465,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1957,                 0.7059,                 1.1054,                0.93099,                      1,                0.98257,                0.64233,                 1.1941,                0.88556,                0.99583,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1542,                0.67666,                 1.0906,                0.93133,                      1,                0.98971,                0.65852,                 1.1796,                0.89076,                 1.0634,               0.001505,               0.001505,               0.001505
